Pos.,Song,Artist,LINK SPOTON,LINK SPOTIFY,ID,30s-Preview,BPM,KEY,MODE,DANCEABILITY,ENERGY,VALENCE,ACOUSTICNESS,INSTRUMENTALNESS,SPEECHINESS,LIVENESS
16,Something Just Like This - Don Diablo Remix,The Chainsmokers,http://www.spotontrack.com/track/something-just-like-this-don-diablo-remix/20573255,https://open.spotify.com/track/15MTd64KUMG7CF6mOyovsQ,15MTd64KUMG7CF6mOyovsQ,https://p.scdn.co/mp3-preview/4cc676d6eff3da91900ea510915743ab433d288e?cid=null,  124.04500000,  B,  Minor,  72%,  75%,  51%,  13%,  0%,  10%,  9%
17,Move On Me,Various Artists,http://www.spotontrack.com/track/move-on-me/10535224,https://open.spotify.com/track/3aNp4ltCuBthvSXz6oB8lC,3aNp4ltCuBthvSXz6oB8lC,https://p.scdn.co/mp3-preview/66c4c1afee26bf503164a1afb18398787c393fbc?cid=null,  128.00400000,  F#,  Minor,  71%,  85%,  69%,  2%,  1%,  12%,  10%
18,All I Know,EDX,http://www.spotontrack.com/track/all-i-know/16881641,https://open.spotify.com/track/122vZqxDr7xtRuNhZZPUda,122vZqxDr7xtRuNhZZPUda,https://p.scdn.co/mp3-preview/3c222a55b464982aa3f94be4393105cd01fe15f0?cid=null,  125.00400000,  C#,  Major,  72%,  94%,  33%,  1%,  48%,  4%,  11%
19,The Jam,Kideko,http://www.spotontrack.com/track/the-jam/163974,https://open.spotify.com/track/3eEStD7Va1vlaN5NBEbQmf,3eEStD7Va1vlaN5NBEbQmf,https://p.scdn.co/mp3-preview/e48546206f86615cdcf44a3afcd98751cc668c01?cid=null,  124.03500000,  C,  Major,  68%,  94%,  34%,  0%,  62%,  5%,  9%
20,Trust,Ferry Corsten,http://www.spotontrack.com/track/trust/23779982,https://open.spotify.com/track/3fZ0V2joy0XcpCcHGe6d8p,3fZ0V2joy0XcpCcHGe6d8p,https://p.scdn.co/mp3-preview/a08ca2a612f83e4520575b4aea7ab8f6e7310222?cid=null,  125.98800000,  G,  Minor,  50%,  79%,  8%,  0%,  86%,  4%,  10%
21,Humble,Wahlstedt,http://www.spotontrack.com/track/humble/22807968,https://open.spotify.com/track/7K17FSXRNGVT8kubLUoTRs,7K17FSXRNGVT8kubLUoTRs,https://p.scdn.co/mp3-preview/9b30cb468416a817bb877e404f35c917d7e6f00f?cid=null,  126.01300000,  A,  Minor,  80%,  64%,  70%,  2%,  0%,  9%,  11%
22,Get What You Give,Felix Cartal,http://www.spotontrack.com/track/get-what-you-give/13473143,https://open.spotify.com/track/0DTtMH8wB4UiRCjk6NgWl5,0DTtMH8wB4UiRCjk6NgWl5,https://p.scdn.co/mp3-preview/e35d23f2aa4f56565a9356b7b6573b14d5acb433?cid=null,  121.06700000,  C#,  Major,  63%,  75%,  22%,  1%,  0%,  3%,  12%
23,Show You Love,Kato,http://www.spotontrack.com/track/show-you-love/9935908,https://open.spotify.com/track/4govmU9nWC17G8WRIkhEFh,4govmU9nWC17G8WRIkhEFh,,  123.65900000,  F,  Minor,  52%,  83%,  63%,  32%,  0%,  9%,  8%
24,Sound of Walking Away,Illenium,http://www.spotontrack.com/track/sound-of-walking-away/19980874,https://open.spotify.com/track/3t3oNm7M0HXf7ILqA7vCTP,3t3oNm7M0HXf7ILqA7vCTP,https://p.scdn.co/mp3-preview/504a8dc18df8b3e6fe7148d0cca379560f1d6970?cid=null,  179.84900000,  D,  Major,  35%,  79%,  22%,  8%,  0%,  7%,  10%
25,No Sleep,Bougenvilla,http://www.spotontrack.com/track/no-sleep/15513525,https://open.spotify.com/track/2la4GIvHlR4g9OQuHMhYKp,2la4GIvHlR4g9OQuHMhYKp,https://p.scdn.co/mp3-preview/b70302f9f6a3346a4ff70dbfd48c06448eeea21b?cid=null,  127.90700000,  A,  Minor,  60%,  95%,  21%,  2%,  15%,  4%,  31%
26,Another Sunrise,Ferry Corsten,http://www.spotontrack.com/track/another-sunrise/23779988,https://open.spotify.com/track/3Ht4hPQDs1hHGuDQi0y8LH,3Ht4hPQDs1hHGuDQi0y8LH,https://p.scdn.co/mp3-preview/01a75e7b7c32d84fe769a74d6ee4b59970c4c0ed?cid=null,  127.87400000,  F,  Minor,  39%,  65%,  6%,  2%,  0%,  6%,  6%
27,Waist Time,Diplo,http://www.spotontrack.com/track/waist-time/7057006,https://open.spotify.com/track/0HUGkXVSRaLwRlhSRZzvOu,0HUGkXVSRaLwRlhSRZzvOu,https://p.scdn.co/mp3-preview/28677a2b9c8e99e7100b25e020fe43497b6d6a1d?cid=null,  128.05400000,  D,  Major,  72%,  99%,  68%,  1%,  11%,  19%,  5%
28,White Label (Is This Love),Still Young,http://www.spotontrack.com/track/white-label-is-this-love/13466278,https://open.spotify.com/track/75gCkW0SR8MtFh5lxCUXR7,75gCkW0SR8MtFh5lxCUXR7,https://p.scdn.co/mp3-preview/ad44ce7eaca4f3bf8594439d2911b31a9ef4ba1d?cid=null,  126.18600000,  G#,  Minor,  70%,  80%,  16%,  31%,  0%,  19%,  24%
29,Switch,Don Diablo,http://www.spotontrack.com/track/switch/8641976,https://open.spotify.com/track/29jZ0Ui4P88BgzqVdwHBFJ,29jZ0Ui4P88BgzqVdwHBFJ,https://p.scdn.co/mp3-preview/3ec473538ad98d90e0409f788823725fb0a6f8cd?cid=null,  126.00900000,  F#,  Major,  64%,  88%,  13%,  0%,  79%,  4%,  11%
30,Home,Marshmello,http://www.spotontrack.com/track/home/16651,https://open.spotify.com/track/68pL3hokJXKJ1vJSaEhKr7,68pL3hokJXKJ1vJSaEhKr7,https://p.scdn.co/mp3-preview/8c82617666cb4787b1a1260d509845f01edcd1a4?cid=null,  145.06000000,  G#,  Major,  56%,  89%,  68%,  1%,  81%,  4%,  6%
31,Open,Yellow Claw,http://www.spotontrack.com/track/open/14857586,https://open.spotify.com/track/79y4GJuL7f8HnmFjiaYjvF,79y4GJuL7f8HnmFjiaYjvF,https://p.scdn.co/mp3-preview/9cf27c2fc0068fac0cfc1bc5edd3b0ad892aa6d8?cid=null,  128.01900000,  A#,  Minor,  52%,  86%,  26%,  13%,  2%,  15%,  12%
32,Late Night,ODESZA,http://www.spotontrack.com/track/late-night/20237798,https://open.spotify.com/track/1pqOdQkmYdM7AUM1q3L1mN,1pqOdQkmYdM7AUM1q3L1mN,https://p.scdn.co/mp3-preview/29e3e461ed0deccb608168d818327213806ade5a?cid=null,  125.04300000,  D,  Major,  61%,  63%,  44%,  4%,  1%,  8%,  19%
33,Bassline Riddim,Various Artists,http://www.spotontrack.com/track/bassline-riddim/15512804,https://open.spotify.com/track/2dtoja3cDcgKU39fXmRl2s,2dtoja3cDcgKU39fXmRl2s,https://p.scdn.co/mp3-preview/585a2bb3f1fa3edb52c5dcde75292df8cfbe48a7?cid=null,  126.01600000,  F,  Major,  87%,  89%,  64%,  47%,  85%,  4%,  9%
