15,lovers’ carvings,Bibio,http://www.spotontrack.com/track/lovers-carvings/597522,https://open.spotify.com/track/3JeT6Xcv6MlEHHylk8SKQ1,3JeT6Xcv6MlEHHylk8SKQ1,https://p.scdn.co/mp3-preview/428e10faeb50ab3605c7d6c6c971e6fc768f1876?cid=null,BPM:  118.06000000,Danceability:  56%, G, Major,Energy:  47%,Valence:  42%,Acousticness:  68%,Instrumentalness:  91%,Speechiness:  3%,Liveness:  53%
16,King of Spain,The Tallest Man On Earth,http://www.spotontrack.com/track/king-of-spain/72242,https://open.spotify.com/track/73nQzhgyvxkYosAmTlcFm6,73nQzhgyvxkYosAmTlcFm6,,BPM:  131.37700000,Danceability:  38%, G#, Major,Energy:  49%,Valence:  39%,Acousticness:  72%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  9%
17,Shake,The Head and the Heart,http://www.spotontrack.com/track/shake/504776,https://open.spotify.com/track/33faLM9uNVtibuZIb37MOV,33faLM9uNVtibuZIb37MOV,,BPM:  111.02500000,Danceability:  48%, E, Major,Energy:  79%,Valence:  43%,Acousticness:  47%,Instrumentalness:  71%,Speechiness:  4%,Liveness:  16%
18,Back To You,Twin Forks,http://www.spotontrack.com/track/back-to-you/584041,https://open.spotify.com/track/4l94386YhnCzduk44xzFRx,4l94386YhnCzduk44xzFRx,,BPM:  128.98700000,Danceability:  55%, D, Major,Energy:  85%,Valence:  39%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  7%
19,Call Me In The Afternoon,Half Moon Run,http://www.spotontrack.com/track/call-me-in-the-afternoon/216227,https://open.spotify.com/track/2BBb3UMJBNlofpC25pbSp4,2BBb3UMJBNlofpC25pbSp4,,BPM:  88.55400000,Danceability:  54%, C#, Major,Energy:  95%,Valence:  63%,Acousticness:  13%,Instrumentalness:  1%,Speechiness:  4%,Liveness:  10%
20,Keep Your Head Up,Ben Howard,http://www.spotontrack.com/track/keep-your-head-up/153226,https://open.spotify.com/track/5fpEDGQX0Ah3utGnFYulQZ,5fpEDGQX0Ah3utGnFYulQZ,,BPM:  158.56100000,Danceability:  44%, G, Major,Energy:  57%,Valence:  40%,Acousticness:  48%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  11%
21,Jackie and Wilson,Hozier,http://www.spotontrack.com/track/jackie-and-wilson/1752,https://open.spotify.com/track/0PywzrV955BnXDC8FHAf0n,0PywzrV955BnXDC8FHAf0n,https://p.scdn.co/mp3-preview/79d27e551fcde07fcbb06b3cac162712f0c70c5e?cid=null,BPM:  82.14200000,Danceability:  56%, F#, Major,Energy:  73%,Valence:  72%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  9%
22,Tongue Tied,Grouplove,http://www.spotontrack.com/track/tongue-tied/37246,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N,0GO8y8jQk1PkHzS31d699N,https://p.scdn.co/mp3-preview/2147e7bd8762aa4f7f1ce38ba02cfa618c530758?cid=null,BPM:  112.96000000,Danceability:  56%, D#, Major,Energy:  94%,Valence:  39%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  16%
23,Breezeblocks,alt-J,http://www.spotontrack.com/track/breezeblocks/17910,https://open.spotify.com/track/3n69hLUdIsSa1WlRmjMZlW,3n69hLUdIsSa1WlRmjMZlW,https://p.scdn.co/mp3-preview/ce959086c6a1a2a518365b664f6e2ce9070366eb?cid=null,BPM:  150.07100000,Danceability:  62%, F, Major,Energy:  66%,Valence:  28%,Acousticness:  10%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  21%
24,Housebroken Man,Quiet Life,http://www.spotontrack.com/track/housebroken-man/585779,https://open.spotify.com/track/3BLFRn1bObTn2E9WQB8cBI,3BLFRn1bObTn2E9WQB8cBI,https://p.scdn.co/mp3-preview/db4e4a0d489e225fba6c162b0c26718ce60b9915?cid=null,BPM:  154.61200000,Danceability:  56%, C, Major,Energy:  84%,Valence:  63%,Acousticness:  8%,Instrumentalness:  0%,Speechiness:  9%,Liveness:  9%
