Pos.,Song,Artist,LINK SPOTON,LINK SPOTIFY,ID,30s-Preview,BPM,KEY,MODE,DANCEABILITY,ENERGY,VALENCE,ACOUSTICNESS,INSTRUMENTALNESS,SPEECHINESS,LIVENESS
1,#LilYachtysTeenParty,Various Artists,http://www.spotontrack.com/track/lilyachtysteenparty/23852511,https://open.spotify.com/track/05hv3wsx8cTZyCbCdSbQcO,05hv3wsx8cTZyCbCdSbQcO,https://p.scdn.co/mp3-preview/5a7c0c00c3ebc5b9ede807752ad077edd9d10f30?cid=null,  103.31700000,  F#,  Minor,  45%,  54%,  31%,  94%,  0%,  5%,  21%
2,Forever Young,Lil Yachty,http://www.spotontrack.com/track/forever-young/23763318,https://open.spotify.com/track/34NHZgjn7g61aQtcOpEL7j,34NHZgjn7g61aQtcOpEL7j,,  137.88400000,  F#,  Major,  68%,  61%,  69%,  54%,  0%,  4%,  16%
3,Despacito - Remix,Luis Fonsi,http://www.spotontrack.com/track/despacito-remix/18315714,https://open.spotify.com/track/6rPO02ozF3bM7NnOV4h6s2,6rPO02ozF3bM7NnOV4h6s2,,  88.35700000,  D,  Major,  63%,  82%,  81%,  22%,  0%,  15%,  9%
4,Unforgettable,French Montana,http://www.spotontrack.com/track/unforgettable/16112738,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW,1F2HXIJrE2Xn81OzT2zZvW,https://p.scdn.co/mp3-preview/3814de3ede7445566a5b176bb23120af44da62d8?cid=null,  97.98500000,  F#,  Major,  73%,  77%,  75%,  3%,  1%,  12%,  10%
5,Redbone,Childish Gambino,http://www.spotontrack.com/track/redbone/6484657,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,3kxfsdsCpFgN412fpnW85Y,,  160.08300000,  C#,  Major,  74%,  36%,  59%,  20%,  1%,  8%,  14%
6,Magnolia,Playboi Carti,http://www.spotontrack.com/track/magnolia/17722320,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl,1e1JKLEDKP7hEQzJfNAgPl,,  163.02900000,  B,  Minor,  79%,  59%,  42%,  1%,  0%,  29%,  46%
7,Mask Off - Remix,Future,http://www.spotontrack.com/track/mask-off-remix/23679189,https://open.spotify.com/track/6DB2KOEwHnjkgEnBt5SdeJ,6DB2KOEwHnjkgEnBt5SdeJ,https://p.scdn.co/mp3-preview/c51f0986f9a2e8d6058044b9d0b136b20766a99f?cid=null,  150.00500000,  D,  Major,  73%,  43%,  23%,  1%,  2%,  40%,  51%
8,Everybody,Logic,http://www.spotontrack.com/track/everybody/22004900,https://open.spotify.com/track/7cGFbx7MP0H23iHZTZpqMM,7cGFbx7MP0H23iHZTZpqMM,,  110.00300000,  C#,  Major,  89%,  93%,  79%,  16%,  0%,  9%,  7%
9,90210,Travis Scott,http://www.spotontrack.com/track/90210/939,https://open.spotify.com/track/51EC3I1nQXpec4gDk0mQyP,51EC3I1nQXpec4gDk0mQyP,https://p.scdn.co/mp3-preview/1e66b3cfa89d433a217056c01828c516514d6e5d?cid=null,  81.40400000,  A,  Minor,  40%,  53%,  30%,  11%,  0%,  9%,  11%
10,#LilYachtysTeenParty,Various Artists,http://www.spotontrack.com/track/lilyachtysteenparty/23852512,https://open.spotify.com/track/7n7BF7SwZc7gn7Hhxe6BEq,7n7BF7SwZc7gn7Hhxe6BEq,https://p.scdn.co/mp3-preview/4b43db141eca4a0de6006a09015f2d66a558ba5f?cid=null,  92.01700000,  F#,  Minor,  67%,  26%,  95%,  97%,  0%,  9%,  25%
11,X Men,Lil Yachty,http://www.spotontrack.com/track/x-men/23763322,https://open.spotify.com/track/0aefcYCNBHKqCVICvlj0PQ,0aefcYCNBHKqCVICvlj0PQ,,  140.01500000,  C#,  Major,  87%,  54%,  6%,  0%,  0%,  14%,  11%
