Pos.,Song,Artist,LINK SPOTON,LINK SPOTIFY,ID,30s-Preview,BPM,KEY,MODE,DANCEABILITY,ENERGY,VALENCE,ACOUSTICNESS,INSTRUMENTALNESS,SPEECHINESS,LIVENESS
1,Felices los 4,Maluma,http://www.spotontrack.com/track/felices-los-4/19115519,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,0qYTZCo5Bwh1nsUFGZP3zn,https://p.scdn.co/mp3-preview/1833b3eee258554c6ac92d3b39786ecfcd66a605?cid=null,  93.97300000,  F,  Major,  76%,  79%,  73%,  23%,  0%,  15%,  35%
2,Ahora Dice,Chris Jeday,http://www.spotontrack.com/track/ahora-dice/13050023,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,22eADXu8DfOAUEDw4vU8qy,,  143.96500000,  F#,  Major,  71%,  69%,  42%,  25%,  0%,  14%,  13%
3,Escápate Conmigo,Wisin,http://www.spotontrack.com/track/escpate-conmigo/13472518,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6,2cnKEkpVUSV4wnjQiTWfH6,https://p.scdn.co/mp3-preview/484d7d75b89ab7ef16ff52a02a5e1aa489aec825?cid=null,  92.02800000,  G#,  Minor,  75%,  86%,  75%,  2%,  0%,  6%,  9%
4,Hey DJ,CNCO,http://www.spotontrack.com/track/hey-dj/16198821,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,209gZgcfLq2aUuu51vOWBl,https://p.scdn.co/mp3-preview/2f5806d124555f6d2d011dfd7342d718ac2b9d00?cid=null,  89.98000000,  F,  Major,  79%,  82%,  45%,  3%,  0%,  9%,  39%
5,Me Rehúso,Danny Ocean,http://www.spotontrack.com/track/me-rehuso/3067746,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ,6Zosz8w6CmdGMZM6p4JlbQ,https://p.scdn.co/mp3-preview/edd19436fa7da66fb119cdf301fcd1d1367e888d?cid=null,  104.82700000,  C#,  Major,  75%,  79%,  47%,  3%,  0%,  7%,  5%
6,Attention,Charlie Puth,http://www.spotontrack.com/track/attention/19048533,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,4iLqG9SeJSnt0cSPICSjxv,https://p.scdn.co/mp3-preview/e20bdb50a10a7c5ada4bd34252bed3bfa3823b7a?cid=null,  100.04100000,  D#,  Minor,  77%,  63%,  76%,  10%,  0%,  4%,  8%
7,Shape of You,Ed Sheeran,http://www.spotontrack.com/track/shape-of-you/7006170,https://open.spotify.com/track/0FE9t6xYkqWXU2ahLh6D8X,0FE9t6xYkqWXU2ahLh6D8X,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=null,  95.97700000,  C#,  Minor,  83%,  65%,  93%,  58%,  0%,  8%,  9%
8,Bad Liar,Selena Gomez,http://www.spotontrack.com/track/bad-liar/23283097,https://open.spotify.com/track/2fZQIJew3nkNe99s2PKzul,2fZQIJew3nkNe99s2PKzul,,  121.01900000,  C#,  Major,  95%,  41%,  74%,  18%,  0%,  7%,  8%
9,Despacito - Remix,Luis Fonsi,http://www.spotontrack.com/track/despacito-remix/18315714,https://open.spotify.com/track/6rPO02ozF3bM7NnOV4h6s2,6rPO02ozF3bM7NnOV4h6s2,,  88.35700000,  D,  Major,  63%,  82%,  81%,  22%,  0%,  15%,  9%
10,Sign of the Times,Harry Styles,http://www.spotontrack.com/track/sign-of-the-times/16123244,https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV,5ELRkzdzz0HvGpMDlfZHkV,https://p.scdn.co/mp3-preview/9801b9239ad1b833f1317574ee55b9d7b8426ff1?cid=null,  120.01900000,  F,  Major,  52%,  58%,  21%,  3%,  0%,  3%,  11%
