1,Felices los 4,Maluma,http://www.spotontrack.com/track/felices-los-4/19115519,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,0qYTZCo5Bwh1nsUFGZP3zn,https://p.scdn.co/mp3-preview/1833b3eee258554c6ac92d3b39786ecfcd66a605?cid=null,BPM:  93.97300000,Danceability:  76%, F, Major,Energy:  79%,Valence:  73%,Acousticness:  23%,Instrumentalness:  0%,Speechiness:  15%,Liveness:  35%
2,Me Rehúso,Danny Ocean,http://www.spotontrack.com/track/me-rehuso/3067746,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ,6Zosz8w6CmdGMZM6p4JlbQ,https://p.scdn.co/mp3-preview/edd19436fa7da66fb119cdf301fcd1d1367e888d?cid=null,BPM:  104.82700000,Danceability:  75%, C#, Major,Energy:  79%,Valence:  47%,Acousticness:  3%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  5%
3,Despacito - Remix,Luis Fonsi,http://www.spotontrack.com/track/despacito-remix/18316246,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,5CtI0qwDJkDQGwXD1H1cLb,,BPM:  88.93100000,Danceability:  69%, D, Major,Energy:  82%,Valence:  83%,Acousticness:  23%,Instrumentalness:  0%,Speechiness:  12%,Liveness:  9%
4,Shape of You,Ed Sheeran,http://www.spotontrack.com/track/shape-of-you/10406447,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,7qiZfU4dY1lWllzX7mPBI3,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=null,BPM:  95.97700000,Danceability:  83%, C#, Minor,Energy:  65%,Valence:  93%,Acousticness:  58%,Instrumentalness:  0%,Speechiness:  8%,Liveness:  9%
5,SUBEME LA RADIO,Enrique Iglesias,http://www.spotontrack.com/track/subeme-la-radio/9927880,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,7nKBxz47S9SD79N086fuhn,https://p.scdn.co/mp3-preview/0c5945ac04ea45dbc3f44615241bc070415a80f0?cid=null,BPM:  91.04800000,Danceability:  68%, A, Minor,Energy:  82%,Valence:  65%,Acousticness:  7%,Instrumentalness:  0%,Speechiness:  8%,Liveness:  11%
6,Me Enamoré,Shakira,http://www.spotontrack.com/track/me-enamore/16129471,https://open.spotify.com/track/4m5A5meIueOcDBpbqGvkQB,4m5A5meIueOcDBpbqGvkQB,,BPM:  103.63700000,Danceability:  71%, F, Major,Energy:  88%,Valence:  93%,Acousticness:  21%,Instrumentalness:  0%,Speechiness:  10%,Liveness:  9%
7,Despacito,Luis Fonsi,http://www.spotontrack.com/track/despacito/7066016,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,4aWmUDTfIPGksMNLV2rQP2,,BPM:  177.83300000,Danceability:  66%, D, Major,Energy:  79%,Valence:  85%,Acousticness:  21%,Instrumentalness:  0%,Speechiness:  17%,Liveness:  11%
8,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Pitbull,http://www.spotontrack.com/track/hey-ma-feat-camila-cabello-spanish-version/11565636,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez,2Vdub5mY4lad7w64bFPUez,https://p.scdn.co/mp3-preview/70e4ad03b8b5f39389c1c446ea79abcc2795e931?cid=null,BPM:  104.56300000,Danceability:  49%, C, Major,Energy:  96%,Valence:  51%,Acousticness:  3%,Instrumentalness:  0%,Speechiness:  22%,Liveness:  13%
9,Ahora Dice,Chris Jeday,http://www.spotontrack.com/track/ahora-dice/13050023,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,22eADXu8DfOAUEDw4vU8qy,,BPM:  143.96500000,Danceability:  71%, F#, Major,Energy:  69%,Valence:  42%,Acousticness:  25%,Instrumentalness:  0%,Speechiness:  14%,Liveness:  13%
10,Escápate Conmigo,Wisin,http://www.spotontrack.com/track/escpate-conmigo/13472518,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6,2cnKEkpVUSV4wnjQiTWfH6,https://p.scdn.co/mp3-preview/484d7d75b89ab7ef16ff52a02a5e1aa489aec825?cid=null,BPM:  92.02800000,Danceability:  75%, G#, Minor,Energy:  86%,Valence:  75%,Acousticness:  2%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  9%
