17,The Show Must Go On,Queen,http://www.spotontrack.com/track/the-show-must-go-on/3089136,https://open.spotify.com/track/3m86qx7aIeqFcYcQ1UXUvP,3m86qx7aIeqFcYcQ1UXUvP,,BPM:  83.39300000,Danceability:  30%, B, Minor,Energy:  50%,Valence:  12%,Acousticness:  52%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  14%
18,Karma Police,Radiohead,http://www.spotontrack.com/track/karma-police/241389,https://open.spotify.com/track/3SVAN3BRByDmHOhKyIDxfC,3SVAN3BRByDmHOhKyIDxfC,https://p.scdn.co/mp3-preview/5a09f5390e2862af1687f3671db3d6f84a813a45?cid=null,BPM:  74.80700000,Danceability:  36%, G, Major,Energy:  51%,Valence:  31%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  17%
19,Little Black Backpack,Stroke 9,http://www.spotontrack.com/track/little-black-backpack/5428228,https://open.spotify.com/track/36n3OdHmEJqvWl5Ut2pDtF,36n3OdHmEJqvWl5Ut2pDtF,,BPM:  120.14900000,Danceability:  31%, G, Major,Energy:  76%,Valence:  33%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  27%
20,If You Could Only See,Tonic,http://www.spotontrack.com/track/if-you-could-only-see/668065,https://open.spotify.com/track/7H5OQN4iv3cKE3ZNP5Mbct,7H5OQN4iv3cKE3ZNP5Mbct,,BPM:  95.24500000,Danceability:  42%, A#, Minor,Energy:  95%,Valence:  50%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  15%
21,With Or Without You,U2,http://www.spotontrack.com/track/with-or-without-you/17542551,https://open.spotify.com/track/300dazxD8igsG2HwpERK61,300dazxD8igsG2HwpERK61,,BPM:  110.18400000,Danceability:  54%, D, Major,Energy:  43%,Valence:  11%,Acousticness:  0%,Instrumentalness:  42%,Speechiness:  3%,Liveness:  15%
22,Everything You Want,Vertical Horizon,http://www.spotontrack.com/track/everything-you-want/26397,https://open.spotify.com/track/4cKGldbhGJniI8BrB3K6tb,4cKGldbhGJniI8BrB3K6tb,https://p.scdn.co/mp3-preview/1fdf25d61b20eefe08ad2ed6d1c9cdab497ad36f?cid=null,BPM:  93.89800000,Danceability:  64%, D#, Minor,Energy:  76%,Valence:  72%,Acousticness:  5%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  6%
23,Say It Ain't So,Weezer,http://www.spotontrack.com/track/say-it-ain-t-so/345143,https://open.spotify.com/track/7vhhU4SsMDV8uSQlCxf1Lk,7vhhU4SsMDV8uSQlCxf1Lk,,BPM:  151.77900000,Danceability:  63%, D#, Major,Energy:  55%,Valence:  44%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  7%
24,Come Let Go,Xavier Rudd,http://www.spotontrack.com/track/come-let-go/6815887,https://open.spotify.com/track/2P55WGr4ykdZWXdmY9UlJC,2P55WGr4ykdZWXdmY9UlJC,https://p.scdn.co/mp3-preview/c717bea98c94595dfdee1fa36f1dbb4a2f76ae6d?cid=null,BPM:  140.09200000,Danceability:  54%, G, Major,Energy:  54%,Valence:  26%,Acousticness:  11%,Instrumentalness:  5%,Speechiness:  5%,Liveness:  39%
25,Ocean Avenue,Yellowcard,http://www.spotontrack.com/track/ocean-avenue/67612,https://open.spotify.com/track/23oxJmDc1V9uLUSmN2LIvx,23oxJmDc1V9uLUSmN2LIvx,,BPM:  173.73400000,Danceability:  49%, F#, Minor,Energy:  90%,Valence:  76%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  9%
26,In The Waiting Line,Zero 7,http://www.spotontrack.com/track/in-the-waiting-line/1094808,https://open.spotify.com/track/5jaq9QBRDOUP66t3K0DlA6,5jaq9QBRDOUP66t3K0DlA6,https://p.scdn.co/mp3-preview/84aad2b00ee525f523011282ee2523aee9dce61e?cid=null,BPM:  79.01000000,Danceability:  56%, F, Major,Energy:  33%,Valence:  40%,Acousticness:  76%,Instrumentalness:  13%,Speechiness:  3%,Liveness:  11%
