Pos.,Song,Artist,LINK SPOTON,LINK SPOTIFY,ID,30s-Preview,BPM,KEY,MODE,DANCEABILITY,ENERGY,VALENCE,ACOUSTICNESS,INSTRUMENTALNESS,SPEECHINESS,LIVENESS
1,The Night We Met,Lord Huron,http://www.spotontrack.com/track/the-night-we-met/234554,https://open.spotify.com/track/0QZ5yyl6B6utIWkxeBDxQN,0QZ5yyl6B6utIWkxeBDxQN,https://p.scdn.co/mp3-preview/eb1aee7ce7d3dd50ae65c964054f5eafd9dd4006?cid=null,  174.11800000,  D,  Major,  44%,  38%,  11%,  97%,  26%,  4%,  64%
2,Horse to Water,Tall Heights,http://www.spotontrack.com/track/horse-to-water/1834910,https://open.spotify.com/track/0szmjOw9XbtbQYWz0GvXSp,0szmjOw9XbtbQYWz0GvXSp,https://p.scdn.co/mp3-preview/ccc706f477ae61b06a968e38f4099b82da059021?cid=null,  96.96400000,  F#,  Minor,  52%,  62%,  49%,  34%,  7%,  3%,  50%
3,Where's My Love - Radio Edit,Syml,http://www.spotontrack.com/track/where-s-my-love-radio-edit/8641701,https://open.spotify.com/track/1co1xe1zwm89CmfRRPSqxP,1co1xe1zwm89CmfRRPSqxP,https://p.scdn.co/mp3-preview/f4854a02a7b97c7618aaadb4f827f3787c7d374a?cid=null,  103.98400000,  C,  Minor,  60%,  34%,  42%,  85%,  2%,  3%,  12%
4,Bloom - Bonus Track,The Paper Kites,http://www.spotontrack.com/track/bloom-bonus-track/9699,https://open.spotify.com/track/41yIvlFgvGwxq8qTqAR7eG,41yIvlFgvGwxq8qTqAR7eG,https://p.scdn.co/mp3-preview/4eff0d595f64fc2f8afa7cfe7b891c35f5f979b8?cid=null,  96.00200000,  C#,  Major,  59%,  42%,  39%,  88%,  0%,  2%,  11%
5,The Meetings of the Waters,Fionn Regan,http://www.spotontrack.com/track/the-meetings-of-the-waters/7502020,https://open.spotify.com/track/2EH99L821vO7FTvKVo5YnJ,2EH99L821vO7FTvKVo5YnJ,https://p.scdn.co/mp3-preview/10d13df982c52edc9cdf94a158b08c572c494a53?cid=null,  105.01600000,  B,  Major,  64%,  38%,  34%,  76%,  85%,  3%,  11%
6,Reverie,Isaac Gracie,http://www.spotontrack.com/track/reverie/11599391,https://open.spotify.com/track/1g2eirb8uaYn54iEYZl3CS,1g2eirb8uaYn54iEYZl3CS,,  154.37300000,  G#,  Major,  28%,  25%,  6%,  84%,  71%,  3%,  11%
7,Minimum,Charlie Cunningham,http://www.spotontrack.com/track/minimum/7063617,https://open.spotify.com/track/4FwaJmXeZxr1096KItcUQq,4FwaJmXeZxr1096KItcUQq,https://p.scdn.co/mp3-preview/1d1539b0dbc60dccb0c15fc50157bb7bd6e8a4be?cid=null,  177.86900000,  C,  Minor,  49%,  84%,  31%,  73%,  0%,  9%,  10%
8,Real Peach,Henry Jamison,http://www.spotontrack.com/track/real-peach/1830003,https://open.spotify.com/track/0zswVEAFordAn8lbrgWsb6,0zswVEAFordAn8lbrgWsb6,,  151.98500000,  C#,  Major,  58%,  56%,  33%,  40%,  0%,  3%,  8%
9,Boardwalks - Remastered 2015/ Bonus Track,Little May,http://www.spotontrack.com/track/boardwalks-remastered-2015-bonus-track/37521,https://open.spotify.com/track/23Zlb66N7xcIWbpt2C1bsi,23Zlb66N7xcIWbpt2C1bsi,,  129.00300000,  F#,  Major,  65%,  38%,  27%,  79%,  6%,  3%,  11%
10,Colder Heavens,Blanco White,http://www.spotontrack.com/track/colder-heavens/14939611,https://open.spotify.com/track/6L2KynUEZFPvNZZHD3AjtL,6L2KynUEZFPvNZZHD3AjtL,https://p.scdn.co/mp3-preview/b35282edd7227580d007879624998c50e7f4b8a1?cid=null,  91.89900000,  F,  Minor,  38%,  55%,  28%,  77%,  0%,  4%,  9%
