Pos.,Song,Artist,LINK SPOTON,LINK SPOTIFY,ID,30s-Preview,BPM,KEY,MODE,DANCEABILITY,ENERGY,VALENCE,ACOUSTICNESS,INSTRUMENTALNESS,SPEECHINESS,LIVENESS
1,Ramblin' Man,The Allman Brothers Band,http://www.spotontrack.com/track/ramblin-man/603674,https://open.spotify.com/track/41aOyMZXFwvwRpugIlNCGF,41aOyMZXFwvwRpugIlNCGF,,  178.87300000,  C#,  Major,  31%,  83%,  93%,  49%,  0%,  4%,  24%
2,"Paint It, Black - Mono / Remastered",The Rolling Stones,http://www.spotontrack.com/track/paint-it-black-mono-remastered/6593576,https://open.spotify.com/track/1RJeiAIwR9pZBgJA8ndZLL,1RJeiAIwR9pZBgJA8ndZLL,,  159.73900000,  F,  Minor,  51%,  84%,  77%,  1%,  5%,  9%,  29%
3,Light My Fire,The Doors,http://www.spotontrack.com/track/light-my-fire/37991,https://open.spotify.com/track/5uvosCdMlFdTXhoazkTI5R,5uvosCdMlFdTXhoazkTI5R,https://p.scdn.co/mp3-preview/b88c889d5eaf0dc0e8136d495041f51d1bd660e3?cid=null,  124.61800000,  D#,  Minor,  41%,  73%,  44%,  37%,  0%,  3%,  9%
4,Back In Black,AC/DC,http://www.spotontrack.com/track/back-in-black/4588,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,08mG3Y1vljYA6bvDt4Wqkj,https://p.scdn.co/mp3-preview/506bc9a0485990973449b0467791e06174371284?cid=null,  188.38600000,  A,  Major,  31%,  70%,  78%,  1%,  1%,  5%,  8%
5,Should I Stay or Should I Go - Remastered,The Clash,http://www.spotontrack.com/track/should-i-stay-or-should-i-go-remastered/26461,https://open.spotify.com/track/39shmbIHICJ2Wxnk1fPSdz,39shmbIHICJ2Wxnk1fPSdz,https://p.scdn.co/mp3-preview/670a419f7cb549ef6d3d7f9c5060ac6b8c112fa4?cid=null,  113.37500000,  D,  Major,  74%,  83%,  82%,  8%,  0%,  12%,  38%
6,Ramble On,Led Zeppelin,http://www.spotontrack.com/track/ramble-on/56526,https://open.spotify.com/track/3MODES4TNtygekLl146Dxd,3MODES4TNtygekLl146Dxd,https://p.scdn.co/mp3-preview/83383aceb01ea27b0bffdedfaebe55e29b33aca2?cid=null,  98.42900000,  A,  Major,  47%,  61%,  89%,  7%,  0%,  3%,  23%
7,Money - 2011 Remastered Version,Pink Floyd,http://www.spotontrack.com/track/money-2011-remastered-version/80903,https://open.spotify.com/track/3aoDEt6zSuYQ47gzarlaVo,3aoDEt6zSuYQ47gzarlaVo,,  124.19300000,  A,  Major,  47%,  54%,  79%,  2%,  0%,  15%,  27%
8,Come Together - Remastered,The Beatles,http://www.spotontrack.com/track/come-together-remastered/14801,https://open.spotify.com/track/2EqlS6tkEnglzr7tkKAAYD,2EqlS6tkEnglzr7tkKAAYD,,  165.00700000,  A,  Minor,  53%,  38%,  18%,  3%,  25%,  4%,  9%
9,Rebel Rebel - 1999 Remastered Version,David Bowie,http://www.spotontrack.com/track/rebel-rebel-1999-remastered-version/78122,https://open.spotify.com/track/66lOpKgTyFjOrac4S1s94g,66lOpKgTyFjOrac4S1s94g,,  126.34100000,  A,  Major,  68%,  92%,  62%,  0%,  0%,  4%,  25%
10,Life In The Fast Lane,Eagles,http://www.spotontrack.com/track/life-in-the-fast-lane/9874,https://open.spotify.com/track/6gXrEUzibufX9xYPk3HD5p,6gXrEUzibufX9xYPk3HD5p,https://p.scdn.co/mp3-preview/d8393c90573d9d7049519e5adfe3983b221bc78a?cid=null,  109.53500000,  A,  Major,  67%,  76%,  88%,  10%,  0%,  7%,  5%
11,Crazy Train - Remastered,Ozzy Osbourne,http://www.spotontrack.com/track/crazy-train-remastered/51347,https://open.spotify.com/track/2b9lp5A6CqSzwOrBfAFhof,2b9lp5A6CqSzwOrBfAFhof,https://p.scdn.co/mp3-preview/4f317e5efa0aeba1413f661c05f8fbe203c6a9a2?cid=null,  137.78100000,  A,  Major,  45%,  92%,  46%,  35%,  0%,  12%,  26%
12,Ace Of Spades,Motörhead,http://www.spotontrack.com/track/ace-of-spades/299088,https://open.spotify.com/track/3RkS5epxKd1SFlDdLuKJMJ,3RkS5epxKd1SFlDdLuKJMJ,,  140.57200000,  D#,  Minor,  34%,  99%,  20%,  2%,  0%,  23%,  11%
13,Fly Like An Eagle,Steve Miller Band,http://www.spotontrack.com/track/fly-like-an-eagle/187944,https://open.spotify.com/track/3e0FzZjTXOUtiJGSClOBrI,3e0FzZjTXOUtiJGSClOBrI,,  99.36100000,  A,  Minor,  53%,  74%,  63%,  63%,  1%,  12%,  33%
14,Silver Machine - Original Single Version;Live At The Roundhouse London; 1996 Remastered Version,Hawkwind,http://www.spotontrack.com/track/silver-machine-original-single-version-live-at-the-roundhouse-london-1996-remastered-version/47611,https://open.spotify.com/track/73HSIWZlSCfs4tqVkrGv7H,73HSIWZlSCfs4tqVkrGv7H,https://p.scdn.co/mp3-preview/90b1eb8b8a14752728b12d4dc8b43cfe874e8be9?cid=null,  131.71700000,  C#,  Major,  31%,  87%,  10%,  0%,  71%,  15%,  7%
15,More Than a Feeling,Boston,http://www.spotontrack.com/track/more-than-a-feeling/191892,https://open.spotify.com/track/32kgOw8wejH7zUhtXCM8DH,32kgOw8wejH7zUhtXCM8DH,,  108.73600000,  G,  Major,  38%,  68%,  28%,  0%,  0%,  3%,  5%
16,All Day and All of the Night,The Kinks,http://www.spotontrack.com/track/all-day-and-all-of-the-night/386197,https://open.spotify.com/track/3okPiJwW5nCLpug12sCL4p,3okPiJwW5nCLpug12sCL4p,,  136.34500000,  G,  Major,  56%,  92%,  72%,  25%,  0%,  8%,  6%
17,Iron Man - Remastered Version,Black Sabbath,http://www.spotontrack.com/track/iron-man/14782,https://open.spotify.com/track/3IOQZRcEkplCXg6LofKqE9,3IOQZRcEkplCXg6LofKqE9,https://p.scdn.co/mp3-preview/83facf894aaa71be09e596b7e727609fc9bd4eb7?cid=null,  155.58800000,  A,  Major,  34%,  79%,  43%,  0%,  0%,  8%,  4%
18,Won't Get Fooled Again - Original Album Version,The Who,http://www.spotontrack.com/track/won-t-get-fooled-again-original-album-version/79364,https://open.spotify.com/track/7iLGljK0LNpGamQQEOuCRC,7iLGljK0LNpGamQQEOuCRC,,  135.02700000,  D,  Major,  69%,  92%,  21%,  30%,  27%,  6%,  8%
19,Paranoid,Black Sabbath,http://www.spotontrack.com/track/paranoid/603659,https://open.spotify.com/track/1Ly0ssAgeM7YqdHptao8Oe,1Ly0ssAgeM7YqdHptao8Oe,,  162.72100000,  E,  Minor,  43%,  62%,  39%,  0%,  0%,  7%,  17%
20,(Don't Fear) The Reaper,Blue Öyster Cult,http://www.spotontrack.com/track/don-t-fear-the-reaper/145353,https://open.spotify.com/track/5QTxFnGygVM4jFQiBovmRo,5QTxFnGygVM4jFQiBovmRo,https://p.scdn.co/mp3-preview/596db216a6621b8c0e2f87fb343f33a9c0bd8878?cid=null,  141.47000000,  A,  Minor,  33%,  93%,  39%,  0%,  0%,  7%,  30%
21,Sultans Of Swing,Dire Straits,http://www.spotontrack.com/track/sultans-of-swing/573773,https://open.spotify.com/track/6cr6UDpkjEaMQ80OjWqEBQ,6cr6UDpkjEaMQ80OjWqEBQ,https://p.scdn.co/mp3-preview/36d1b1b99357ff707acec4dddb357aa59d50c0b5?cid=null,  148.21700000,  F,  Major,  73%,  87%,  92%,  6%,  7%,  3%,  32%
22,Sharp Dressed Man - 2008 Remastered Version,ZZ Top,http://www.spotontrack.com/track/sharp-dressed-man-2008-remastered-lp-version/15891,https://open.spotify.com/track/1UBQ5GK8JaQjm5VbkBZY66,1UBQ5GK8JaQjm5VbkBZY66,https://p.scdn.co/mp3-preview/5be9776759c263721e1f75d03a12cc033a15fd99?cid=null,  125.14500000,  F,  Major,  60%,  86%,  43%,  0%,  0%,  3%,  9%
23,Who Are You,The Who,http://www.spotontrack.com/track/who-are-you/169183,https://open.spotify.com/track/3x2bXiU0o4WbsPkawXlfDA,3x2bXiU0o4WbsPkawXlfDA,,  156.37100000,  A,  Major,  65%,  66%,  48%,  27%,  0%,  5%,  11%
24,"Baby, Let Me Follow You Down - Live from London 5/26/66",Bob Dylan,http://www.spotontrack.com/track/baby-let-me-follow-you-down-live-from-london-5-26-66/6493059,https://open.spotify.com/track/3MHwnlgUI6R1wSamJ60Mi2,3MHwnlgUI6R1wSamJ60Mi2,https://p.scdn.co/mp3-preview/ee1ea8ad874e1bbdb650c93329b4180617291e3f?cid=null,  136.31500000,  D,  Major,  29%,  90%,  33%,  26%,  0%,  14%,  58%
25,Barracuda,Heart,http://www.spotontrack.com/track/barracuda/248531,https://open.spotify.com/track/4KfSdst7rW39C0sfhArdrz,4KfSdst7rW39C0sfhArdrz,https://p.scdn.co/mp3-preview/40fe19875a5d5aae773c517c3179c47d12f94c25?cid=null,  137.14800000,  E,  Minor,  55%,  69%,  68%,  2%,  11%,  4%,  14%
26,Peace of Mind,Boston,http://www.spotontrack.com/track/peace-of-mind/191893,https://open.spotify.com/track/3sY6z4pGcxpMwx3W026WtU,3sY6z4pGcxpMwx3W026WtU,,  127.67000000,  E,  Major,  42%,  68%,  68%,  0%,  0%,  3%,  21%
27,Long Cool Woman (In A Black Dress) - 1999 Remastered Version,The Hollies,http://www.spotontrack.com/track/long-cool-woman-in-a-black-dress-1999-remastered-version/187849,https://open.spotify.com/track/5UwbnHhjnbinJH8TefuQfN,5UwbnHhjnbinJH8TefuQfN,https://p.scdn.co/mp3-preview/f4f1fa5512316535ef21f04a8c1e3723216cec92?cid=null,  138.92300000,  A,  Major,  76%,  87%,  79%,  41%,  0%,  6%,  36%
28,Can't You See,The Marshall Tucker Band,http://www.spotontrack.com/track/can-t-you-see/208383,https://open.spotify.com/track/0N0q5D8KmH13mmODXJsJqS,0N0q5D8KmH13mmODXJsJqS,,  164.02200000,  G,  Major,  41%,  71%,  55%,  25%,  1%,  3%,  13%
29,We Will Rock You - Remastered 2011,Queen,http://www.spotontrack.com/track/we-will-rock-you-remastered-2011/502887,https://open.spotify.com/track/54flyrjcdnQdco7300avMJ,54flyrjcdnQdco7300avMJ,,  81.40000000,  B,  Minor,  69%,  49%,  48%,  69%,  0%,  10%,  40%
30,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,http://www.spotontrack.com/track/i-can-t-get-no-satisfaction-mono-version-remastered-2002/574943,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34,2PzU4IB8Dr6mxV3lHuaG34,,  136.28200000,  D,  Major,  73%,  85%,  90%,  3%,  13%,  4%,  20%
31,Dirty Deeds Done Dirt Cheap,AC/DC,http://www.spotontrack.com/track/dirty-deeds-done-dirt-cheap/199112,https://open.spotify.com/track/2d4e45fmUnguxh6yqC7gNT,2d4e45fmUnguxh6yqC7gNT,https://p.scdn.co/mp3-preview/f71637de7f196a3213e1a0eecbc52b21200f98f6?cid=null,  135.65300000,  B,  Minor,  67%,  91%,  50%,  21%,  0%,  17%,  14%
32,Rock And Roll All Nite,KISS,http://www.spotontrack.com/track/rock-and-roll-all-nite/690931,https://open.spotify.com/track/6KTv0Z8BmVqM7DPxbGzpVC,6KTv0Z8BmVqM7DPxbGzpVC,,  144.75100000,  C#,  Major,  66%,  93%,  90%,  6%,  0%,  10%,  5%
33,Sweet Emotion,Aerosmith,http://www.spotontrack.com/track/sweet-emotion/57538,https://open.spotify.com/track/24NwBd5vZ2CK8VOQVnqdxr,24NwBd5vZ2CK8VOQVnqdxr,https://p.scdn.co/mp3-preview/8d7338ca736693a3f145ef410d2050678a734dc2?cid=null,  99.43700000,  A,  Major,  38%,  76%,  50%,  0%,  3%,  4%,  10%
34,Feel Like Makin' Love - 2015 Remastered Version,Bad Company,http://www.spotontrack.com/track/feel-like-makin-love-2015-remastered-version/1099172,https://open.spotify.com/track/3KPwt1LBpt1jVSHz8GXERo,3KPwt1LBpt1jVSHz8GXERo,https://p.scdn.co/mp3-preview/96a755f91a8373502212a3947e2987593e08c8a6?cid=null,  85.12600000,  G,  Major,  54%,  53%,  73%,  33%,  0%,  3%,  71%
35,Whole Lotta Love,Led Zeppelin,http://www.spotontrack.com/track/whole-lotta-love/56520,https://open.spotify.com/track/0hCB0YR03f6AmQaHbwWDe8,0hCB0YR03f6AmQaHbwWDe8,https://p.scdn.co/mp3-preview/ce11b19a4d2de9976d7626df0717d0073863909c?cid=null,  89.74000000,  A,  Major,  41%,  90%,  43%,  5%,  13%,  41%,  41%
36,House Of The Rising Sun,The Animals,http://www.spotontrack.com/track/house-of-the-rising-sun/298732,https://open.spotify.com/track/61Q9oJNd9hJQFhSDh6Qlap,61Q9oJNd9hJQFhSDh6Qlap,,  116.99700000,  A,  Minor,  32%,  55%,  33%,  0%,  8%,  3%,  8%
37,The Jean Genie - 2013 Remastered Version,David Bowie,http://www.spotontrack.com/track/the-jean-genie-2013-remastered-version/84079,https://open.spotify.com/track/3GGkKcUEC4xMxbJ9HEjWNg,3GGkKcUEC4xMxbJ9HEjWNg,,  128.25200000,  A,  Major,  58%,  61%,  79%,  36%,  0%,  3%,  44%
38,Hey Joe,Jimi Hendrix,http://www.spotontrack.com/track/hey-joe/28391,https://open.spotify.com/track/0NWPxcsf5vdjdiFUI8NgkP,0NWPxcsf5vdjdiFUI8NgkP,https://p.scdn.co/mp3-preview/28fc8b1b9826ddc224d26b4df661fb79f1b94351?cid=null,  169.49200000,  A,  Major,  35%,  77%,  53%,  1%,  38%,  4%,  2%
39,Everywhere,Fleetwood Mac,http://www.spotontrack.com/track/everywhere/2453,https://open.spotify.com/track/6i8ecOsx4J2Px1maiqzqoG,6i8ecOsx4J2Px1maiqzqoG,,  114.84600000,  E,  Major,  69%,  54%,  76%,  22%,  1%,  3%,  12%
40,China Grove,The Doobie Brothers,http://www.spotontrack.com/track/china-grove/254097,https://open.spotify.com/track/7cy1bEJV6FCtDaYpsk8aG6,7cy1bEJV6FCtDaYpsk8aG6,https://p.scdn.co/mp3-preview/b97cba87e3b689d856020fd4147dfeb39f5568f1?cid=null,  145.58800000,  A,  Major,  63%,  89%,  66%,  27%,  0%,  4%,  17%
41,For What It's Worth,Buffalo Springfield,http://www.spotontrack.com/track/for-what-it-s-worth/19650,https://open.spotify.com/track/1qRA5BS78u3gME0loMl9AA,1qRA5BS78u3gME0loMl9AA,https://p.scdn.co/mp3-preview/a0cc83ddc1b9c032f5e97546651aff9ca8b7e84a?cid=null,  98.88300000,  D,  Major,  65%,  52%,  82%,  41%,  2%,  5%,  10%
42,"Another Brick in the Wall, Pt. 2",Pink Floyd,http://www.spotontrack.com/track/another-brick-in-the-wall-pt-2/741922,https://open.spotify.com/track/4gMgiXfqyzZLMhsksGmbQV,4gMgiXfqyzZLMhsksGmbQV,https://p.scdn.co/mp3-preview/92210b01fcc6efa80008663c158baf79cf0d7b5f?cid=null,  104.12600000,  C,  Major,  69%,  39%,  72%,  8%,  0%,  4%,  25%
43,Bang A Gong [Get It On] (Remastered Single/LP Version),T. Rex,http://www.spotontrack.com/track/bang-a-gong-get-it-on-remastered-single-lp-version/522788,https://open.spotify.com/track/6FsQrRpBLgsrFeAeiQqytm,6FsQrRpBLgsrFeAeiQqytm,https://p.scdn.co/mp3-preview/feb120fa6dafbdb2811c56df8cfa467d4b605deb?cid=null,  125.81100000,  D,  Major,  73%,  82%,  91%,  16%,  29%,  7%,  20%
44,Sweet Child O' Mine,Guns N' Roses,http://www.spotontrack.com/track/sweet-child-o-mine/218778,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51,7o2CTH4ctstm8TNelqjb51,,  125.12200000,  F#,  Major,  45%,  91%,  62%,  8%,  15%,  5%,  24%
45,Runnin' With The Devil,Van Halen,http://www.spotontrack.com/track/runnin-with-the-devil/40424,https://open.spotify.com/track/3gLlcZQMvpwgtV9THHXrGp,3gLlcZQMvpwgtV9THHXrGp,,  95.59000000,  C#,  Minor,  43%,  88%,  53%,  2%,  0%,  7%,  19%
46,Stranglehold,Ted Nugent,http://www.spotontrack.com/track/stranglehold/603689,https://open.spotify.com/track/2f0P7iELCvAlV8j6Z3rGDE,2f0P7iELCvAlV8j6Z3rGDE,https://p.scdn.co/mp3-preview/0424c79f25eb29d13072c394fb6433532738ea32?cid=null,  148.18900000,  D,  Major,  48%,  71%,  49%,  2%,  17%,  3%,  9%
47,Tom Sawyer,Rush,http://www.spotontrack.com/track/tom-sawyer/110348,https://open.spotify.com/track/3QZ7uX97s82HFYSmQUAN1D,3QZ7uX97s82HFYSmQUAN1D,,  174.99600000,  A,  Major,  42%,  89%,  69%,  0%,  2%,  4%,  6%
48,All Along the Watchtower,Jimi Hendrix,http://www.spotontrack.com/track/all-along-the-watchtower/19648,https://open.spotify.com/track/2aoo2jlRnM3A0NyLQqMN2f,2aoo2jlRnM3A0NyLQqMN2f,https://p.scdn.co/mp3-preview/5eec2933740ab3984340d5f004813f8275e1bb97?cid=null,  113.25300000,  G#,  Major,  44%,  81%,  57%,  0%,  0%,  6%,  8%
49,Good Times Bad Times,Led Zeppelin,http://www.spotontrack.com/track/good-times-bad-times/173591,https://open.spotify.com/track/0QwZfbw26QeUoIy82Z2jYp,0QwZfbw26QeUoIy82Z2jYp,https://p.scdn.co/mp3-preview/c1f024eb57b569b926c8e68cab0a6056dc7d9654?cid=null,  93.58400000,  A,  Major,  48%,  72%,  75%,  4%,  0%,  9%,  8%
50,My Generation,The Who,http://www.spotontrack.com/track/my-generation/385853,https://open.spotify.com/track/45s88Xopo6KvHc0PQ05aGg,45s88Xopo6KvHc0PQ05aGg,,  95.60600000,  C,  Minor,  33%,  80%,  71%,  16%,  0%,  7%,  27%
51,Brown Sugar - Remastered,The Rolling Stones,http://www.spotontrack.com/track/brown-sugar-remastered/150367,https://open.spotify.com/track/5EcvzboYmDIfXo9gPplsSB,5EcvzboYmDIfXo9gPplsSB,,  128.66200000,  C,  Major,  64%,  93%,  97%,  23%,  0%,  4%,  5%
52,White Room,Cream,http://www.spotontrack.com/track/white-room/139201,https://open.spotify.com/track/5X76oXHcR5uCXali0gOyX5,5X76oXHcR5uCXali0gOyX5,,  109.83700000,  C,  Major,  55%,  58%,  50%,  18%,  1%,  3%,  6%
53,Beast Of Burden - Remastered,The Rolling Stones,http://www.spotontrack.com/track/beast-of-burden-remastered/47300,https://open.spotify.com/track/0832Tptls5YicHPGgw7ssP,0832Tptls5YicHPGgw7ssP,,  100.66000000,  C#,  Minor,  79%,  87%,  87%,  41%,  0%,  3%,  4%
54,Heart Full of Soul,The Yardbirds,http://www.spotontrack.com/track/heart-full-of-soul/603713,https://open.spotify.com/track/0AiuEo7FCxP2y2WTOpLPe5,0AiuEo7FCxP2y2WTOpLPe5,https://p.scdn.co/mp3-preview/15bc644e50fbaae427f5542c90eba38d34a95025?cid=null,  140.83200000,  A,  Minor,  49%,  67%,  70%,  23%,  0%,  4%,  5%
55,Pinball Wizard,The Who,http://www.spotontrack.com/track/pinball-wizard/603741,https://open.spotify.com/track/1zGk1kgAxCpg6PHjGuLe4J,1zGk1kgAxCpg6PHjGuLe4J,,  124.01100000,  D,  Major,  54%,  72%,  45%,  2%,  0%,  4%,  26%
56,Down On The Corner,Creedence Clearwater Revival,http://www.spotontrack.com/track/down-on-the-corner/285712,https://open.spotify.com/track/4YMLW13PuuO7o3jkIWlKAs,4YMLW13PuuO7o3jkIWlKAs,,  108.17700000,  C,  Major,  83%,  54%,  85%,  59%,  0%,  8%,  7%
57,Brown Eyed Girl,Van Morrison,http://www.spotontrack.com/track/brown-eyed-girl/20575,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul,3yrSvpt2l1xhsV9Em88Pul,https://p.scdn.co/mp3-preview/cb2b0096b08796c0c1cfeb31b9a9802ce0a3b44a?cid=null,  150.57200000,  G,  Major,  49%,  58%,  90%,  18%,  0%,  4%,  41%
58,Dust in the Wind,Kansas,http://www.spotontrack.com/track/dust-in-the-wind/51136,https://open.spotify.com/track/6zeE5tKyr8Nu882DQhhSQI,6zeE5tKyr8Nu882DQhhSQI,https://p.scdn.co/mp3-preview/f86dfdfaca403adb32ee7a68b84e9953b0cc8572?cid=null,  93.50300000,  G,  Major,  48%,  32%,  39%,  37%,  0%,  3%,  11%
59,Edge of Seventeen - Remastered,Stevie Nicks,http://www.spotontrack.com/track/edge-of-seventeen-remastered/4317718,https://open.spotify.com/track/5LNiqEqpDc8TuqPy79kDBu,5LNiqEqpDc8TuqPy79kDBu,https://p.scdn.co/mp3-preview/8a7059e2f27a1d160f7e4844e479f887e5900cd2?cid=null,  111.45700000,  C,  Major,  59%,  80%,  66%,  33%,  0%,  5%,  8%
60,Honky Tonk Women,The Rolling Stones,http://www.spotontrack.com/track/honky-tonk-women/366189,https://open.spotify.com/track/3RZMzCvYsmJ0u2ioKTOsmJ,3RZMzCvYsmJ0u2ioKTOsmJ,,  119.54400000,  G,  Major,  56%,  77%,  97%,  38%,  3%,  6%,  17%
61,Go Your Own Way,Fleetwood Mac,http://www.spotontrack.com/track/go-your-own-way/9897,https://open.spotify.com/track/0FeCO85RKW8fDRytwXof2x,0FeCO85RKW8fDRytwXof2x,,  135.68000000,  F,  Major,  60%,  81%,  82%,  2%,  0%,  3%,  10%
62,You Really Got Me,The Kinks,http://www.spotontrack.com/track/you-really-got-me/502956,https://open.spotify.com/track/1oG2vWELiGjIqxwqGcyqwF,1oG2vWELiGjIqxwqGcyqwF,,  137.37700000,  G#,  Major,  57%,  96%,  96%,  10%,  0%,  10%,  10%
63,Revolution - Remastered,The Beatles,http://www.spotontrack.com/track/revolution-remastered/89088,https://open.spotify.com/track/3UDmHZcBTQp8Iu8droNtUl,3UDmHZcBTQp8Iu8droNtUl,,  121.38000000,  F#,  Major,  41%,  83%,  69%,  7%,  0%,  21%,  24%
64,Radar Love,Golden Earring,http://www.spotontrack.com/track/radar-love/334115,https://open.spotify.com/track/4Zau4QvgyxWiWQ5KQrwL43,4Zau4QvgyxWiWQ5KQrwL43,https://p.scdn.co/mp3-preview/564178de9dedf632b291b1568902fd6ac5cbae35?cid=null,  102.14400000,  C#,  Minor,  50%,  72%,  17%,  1%,  0%,  4%,  8%
65,Black Water (45 Version),The Doobie Brothers,http://www.spotontrack.com/track/black-water-45-version/88815,https://open.spotify.com/track/3x1v32I3SZNvC7q7bDhcGm,3x1v32I3SZNvC7q7bDhcGm,https://p.scdn.co/mp3-preview/4f838f890ecf95233a84b14a639d1ab1c6aba908?cid=null,  168.16900000,  D,  Major,  54%,  31%,  65%,  33%,  0%,  4%,  4%
66,Love Her Madly,The Doors,http://www.spotontrack.com/track/love-her-madly/17641,https://open.spotify.com/track/3MFFDRC4wTN9JNGtzXsZlN,3MFFDRC4wTN9JNGtzXsZlN,https://p.scdn.co/mp3-preview/9508629c630afec0ad940e46ab17535a8d795999?cid=null,  147.46200000,  E,  Minor,  56%,  59%,  97%,  6%,  0%,  3%,  4%
67,Gimme Three Steps,Lynyrd Skynyrd,http://www.spotontrack.com/track/gimme-three-steps/69922,https://open.spotify.com/track/0vSiz90JRxvYsbCTx84oVM,0vSiz90JRxvYsbCTx84oVM,,  133.39000000,  A,  Major,  64%,  82%,  92%,  30%,  0%,  6%,  13%
