1,Héroe Favorito,Romeo Santos,http://www.spotontrack.com/track/heroe-favorito/8834643,https://open.spotify.com/track/6RFJxVj9tL0Xrd3Jve4Vo4,6RFJxVj9tL0Xrd3Jve4Vo4,https://p.scdn.co/mp3-preview/6d9d4f1cbf85c7b406cee3e9b7aed703066d5732?cid=null,BPM:  128.02100000,Danceability:  87%, C#, Major,Energy:  68%,Valence:  78%,Acousticness:  71%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  13%
2,Secreto,Judy Santos,http://www.spotontrack.com/track/secreto/23780905,https://open.spotify.com/track/7M5dX7rTCh1R7cM3dr6Hlm,7M5dX7rTCh1R7cM3dr6Hlm,https://p.scdn.co/mp3-preview/a6c8a43a2ba58bd06e1dc469ee960adc243c6c1c?cid=null,BPM:  129.98400000,Danceability:  85%, D#, Minor,Energy:  70%,Valence:  95%,Acousticness:  67%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  11%
3,Corazón Sin Cara,Prince Royce,http://www.spotontrack.com/track/corazon-sin-cara/1670583,https://open.spotify.com/track/7a6htfBLgGUd4e36u2ISrx,7a6htfBLgGUd4e36u2ISrx,,BPM:  127.10900000,Danceability:  71%, B, Major,Energy:  83%,Valence:  96%,Acousticness:  5%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  12%
4,Culpables,Liza + Willie,http://www.spotontrack.com/track/culpables/2171389,https://open.spotify.com/track/1YejXA9Zl0iAMM19IbVPpw,1YejXA9Zl0iAMM19IbVPpw,https://p.scdn.co/mp3-preview/c2ca58dead8b2b86bb58351fcb84885093c3a7d2?cid=null,BPM:  130.05100000,Danceability:  74%, B, Major,Energy:  59%,Valence:  77%,Acousticness:  42%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  31%
5,Su Veneno,Aventura,http://www.spotontrack.com/track/su-veneno/2159656,https://open.spotify.com/track/2cxmgpAd57AlUTx3O8e9yk,2cxmgpAd57AlUTx3O8e9yk,https://p.scdn.co/mp3-preview/955814f23a20adf2c08542bdfb67f0e3bd9178b5?cid=null,BPM:  123.90800000,Danceability:  77%, A, Minor,Energy:  58%,Valence:  93%,Acousticness:  42%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  14%
6,Te Extraño - Bachata Version,Xtreme,http://www.spotontrack.com/track/te-extrano-bachata-version/242145,https://open.spotify.com/track/0muI8DpTEpLqqibPm3sKYf,0muI8DpTEpLqqibPm3sKYf,,BPM:  129.93600000,Danceability:  80%, F#, Minor,Energy:  63%,Valence:  87%,Acousticness:  76%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  9%
7,Hoja En Blanco,Monchy & Alexandra,http://www.spotontrack.com/track/hoja-en-blanco/16436,https://open.spotify.com/track/0wDEs6WvqDHq4XJZC0dHhO,0wDEs6WvqDHq4XJZC0dHhO,https://p.scdn.co/mp3-preview/94b642f670afee5395f8c20ad1530fd07a8b3422?cid=null,BPM:  135.06300000,Danceability:  93%, C, Major,Energy:  77%,Valence:  87%,Acousticness:  23%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  18%
8,Tu Eres Ajena,Frank Reyes,http://www.spotontrack.com/track/tu-eres-ajena/4301656,https://open.spotify.com/track/64zjvItFmkY8Q96tcmGQ6n,64zjvItFmkY8Q96tcmGQ6n,https://p.scdn.co/mp3-preview/15383464745fbbe862b89645e0eb3c08de3feb54?cid=null,BPM:  130.20500000,Danceability:  92%, C, Minor,Energy:  58%,Valence:  95%,Acousticness:  23%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  8%
9,Cuídame - Deluxe,Henry Santos,http://www.spotontrack.com/track/cuidame-deluxe/5286162,https://open.spotify.com/track/5vY9L2lWnaCXwecxaUigps,5vY9L2lWnaCXwecxaUigps,https://p.scdn.co/mp3-preview/9404883e1acc518d6df233e80a6a5ca5d4d4013c?cid=null,BPM:  125.01900000,Danceability:  73%, C, Major,Energy:  81%,Valence:  82%,Acousticness:  33%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  10%
10,Mi Santa,Romeo Santos,http://www.spotontrack.com/track/mi-santa/134033,https://open.spotify.com/track/4EbAftNM732UGLF8gmIIsX,4EbAftNM732UGLF8gmIIsX,https://p.scdn.co/mp3-preview/8a2c329087893cabe78aad15d96a79aeebdfff8c?cid=null,BPM:  128.02200000,Danceability:  74%, A#, Minor,Energy:  70%,Valence:  64%,Acousticness:  59%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  12%
11,Nereyda,Raulin Rodriguez,http://www.spotontrack.com/track/nereyda/2102034,https://open.spotify.com/track/4GqF1OeM18jaUiCs56JR5s,4GqF1OeM18jaUiCs56JR5s,https://p.scdn.co/mp3-preview/e332ad076682496a24f2fe52f110a1c55c39ea47?cid=null,BPM:  76.59500000,Danceability:  72%, A, Minor,Energy:  36%,Valence:  93%,Acousticness:  45%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  30%
12,Aun Me Perteneces,24 Horas,http://www.spotontrack.com/track/aun-me-perteneces/1780648,https://open.spotify.com/track/6HI59DNB97wXvOyP3kWdyE,6HI59DNB97wXvOyP3kWdyE,https://p.scdn.co/mp3-preview/89b2878caa7ff9214852472112c04bc14a514219?cid=null,BPM:  123.01200000,Danceability:  72%, G#, Major,Energy:  79%,Valence:  86%,Acousticness:  42%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  14%
13,Dos Locos,Monchy & Alexandra,http://www.spotontrack.com/track/dos-locos/1127512,https://open.spotify.com/track/1ePEbbeWx3scydfir7HBcq,1ePEbbeWx3scydfir7HBcq,https://p.scdn.co/mp3-preview/cdd0233818a99a6289394ff8ecabaa82e858a356?cid=null,BPM:  129.99800000,Danceability:  92%, C#, Minor,Energy:  66%,Valence:  84%,Acousticness:  9%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  7%
14,Cuanto Duele,Carlos y Alejandra,http://www.spotontrack.com/track/cuanto-duele/1631611,https://open.spotify.com/track/4pJDYk0CnZoydOy6qzqxJW,4pJDYk0CnZoydOy6qzqxJW,,BPM:  129.03100000,Danceability:  80%, C#, Major,Energy:  75%,Valence:  92%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  10%
15,No Hay Colores (feat. Judy Santos),Toby Love,http://www.spotontrack.com/track/no-hay-colores-feat-judy-santos/1670776,https://open.spotify.com/track/6u2qRsPJ7FWtXFKrhWO0Lh,6u2qRsPJ7FWtXFKrhWO0Lh,https://p.scdn.co/mp3-preview/9d43dff9cbec7fe84ae818df89a586e202d885e5?cid=null,BPM:  133.00900000,Danceability:  73%, A, Minor,Energy:  86%,Valence:  63%,Acousticness:  49%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  7%
16,La Carretera,Prince Royce,http://www.spotontrack.com/track/la-carretera/272622,https://open.spotify.com/track/31q1SLZZJZkdXENljyG1xC,31q1SLZZJZkdXENljyG1xC,,BPM:  121.97900000,Danceability:  75%, A#, Major,Energy:  70%,Valence:  91%,Acousticness:  62%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  10%
17,Necio,Romeo Santos,http://www.spotontrack.com/track/necio/5168,https://open.spotify.com/track/3DKWF8is9hzp84aSxnhlag,3DKWF8is9hzp84aSxnhlag,https://p.scdn.co/mp3-preview/9a125a6b556adc5396de8434ecbc547c9d6b3426?cid=null,BPM:  115.05200000,Danceability:  87%, C#, Major,Energy:  68%,Valence:  89%,Acousticness:  36%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  7%
18,Tengo un Amor,Toby Love,http://www.spotontrack.com/track/tengo-un-amor/86683,https://open.spotify.com/track/5q9ZLBQHuaQd8juV2MtYzc,5q9ZLBQHuaQd8juV2MtYzc,https://p.scdn.co/mp3-preview/ac625d376971e171d98da051bc0a9109cba501be?cid=null,BPM:  133.99500000,Danceability:  75%, G#, Major,Energy:  57%,Valence:  96%,Acousticness:  64%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  33%
19,Enseñame a Olvidar,Aventura,http://www.spotontrack.com/track/ensename-a-olvidar/2159661,https://open.spotify.com/track/4iTtqoImVortyy7MHw51Cv,4iTtqoImVortyy7MHw51Cv,https://p.scdn.co/mp3-preview/3f5723575f26a00839528f85de2284b18c26ec05?cid=null,BPM:  124.94400000,Danceability:  79%, G#, Major,Energy:  50%,Valence:  92%,Acousticness:  46%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  9%
20,Quiereme,Johnny Sky,http://www.spotontrack.com/track/quiereme/77510,https://open.spotify.com/track/3zLZzw2t5mbsLaNQURufkB,3zLZzw2t5mbsLaNQURufkB,https://p.scdn.co/mp3-preview/3743b31bfce55e989e812d65e50a47933b738a07?cid=null,BPM:  139.84600000,Danceability:  68%, A, Minor,Energy:  84%,Valence:  83%,Acousticness:  21%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  13%
21,Propuesta Indecente,Romeo Santos,http://www.spotontrack.com/track/propuesta-indecente/1411412,https://open.spotify.com/track/6FwEmbPo3d3USlMzuulT69,6FwEmbPo3d3USlMzuulT69,https://p.scdn.co/mp3-preview/87c64c1dc3d52a01d1871d55b73137ccc8a87c21?cid=null,BPM:  122.94800000,Danceability:  76%, D, Major,Energy:  65%,Valence:  77%,Acousticness:  51%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  7%
22,Dile,Kewin Cosmos,http://www.spotontrack.com/track/dile/1670823,https://open.spotify.com/track/1w2cCY4iJ50Pm9qtwt310x,1w2cCY4iJ50Pm9qtwt310x,,BPM:  130.10400000,Danceability:  74%, C, Major,Energy:  81%,Valence:  97%,Acousticness:  65%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  13%
23,Eres Mía,Romeo Santos,http://www.spotontrack.com/track/eres-mia/5171,https://open.spotify.com/track/6I86RF3odBlcuZA9Vfjzeq,6I86RF3odBlcuZA9Vfjzeq,https://p.scdn.co/mp3-preview/9e40d6c171957cbf655f6253806ad69b0dfe3a1e?cid=null,BPM:  123.04600000,Danceability:  84%, F#, Minor,Energy:  73%,Valence:  90%,Acousticness:  40%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  21%
24,Deja vu,Prince Royce,http://www.spotontrack.com/track/deja-vu/9578132,https://open.spotify.com/track/0vOU4wzq4KOLZia5bOMix0,0vOU4wzq4KOLZia5bOMix0,,BPM:  123.98100000,Danceability:  73%, A, Major,Energy:  80%,Valence:  82%,Acousticness:  39%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  31%
25,Amorcito Enfermito,"Héctor Acosta ""El Torito""",http://www.spotontrack.com/track/amorcito-enfermito/2155979,https://open.spotify.com/track/1RcJsBhCLIirV7PPJT5A2k,1RcJsBhCLIirV7PPJT5A2k,https://p.scdn.co/mp3-preview/860c38c75e7f27c111fd3509a55b834dd7e8e1d0?cid=null,BPM:  122.96600000,Danceability:  84%, C, Minor,Energy:  69%,Valence:  76%,Acousticness:  14%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  35%
26,El Perdedor,Aventura,http://www.spotontrack.com/track/el-perdedor/2159652,https://open.spotify.com/track/6TEG5tLQFyRUPJSQSnHDx4,6TEG5tLQFyRUPJSQSnHDx4,https://p.scdn.co/mp3-preview/f0eb70d9d63c4733088230390fa4cc2eee9a15a9?cid=null,BPM:  128.02000000,Danceability:  78%, F, Major,Energy:  55%,Valence:  93%,Acousticness:  30%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  13%
27,El Cuchillo,Optimo,http://www.spotontrack.com/track/el-cuchillo/1670620,https://open.spotify.com/track/51sf8K5TcoLvuMF24c84Lv,51sf8K5TcoLvuMF24c84Lv,https://p.scdn.co/mp3-preview/18c01d6c3d4b7b918725291cbf6936773a8f7013?cid=null,BPM:  128.04200000,Danceability:  88%, A, Minor,Energy:  71%,Valence:  74%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  15%
28,Infiel,Karlos Rosé,http://www.spotontrack.com/track/infiel/1670756,https://open.spotify.com/track/4OpFR4sz9kxF983pKdnx1k,4OpFR4sz9kxF983pKdnx1k,,BPM:  136.91100000,Danceability:  76%, D#, Minor,Energy:  74%,Valence:  94%,Acousticness:  28%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  11%
29,Donde Estan Esos Amigos,El Chaval,http://www.spotontrack.com/track/donde-estan-esos-amigos/1670651,https://open.spotify.com/track/1dN6LzonVuFgQ90x4Ttrse,1dN6LzonVuFgQ90x4Ttrse,https://p.scdn.co/mp3-preview/20d43354d014e166afb105d39c9b2e9320cdc810?cid=null,BPM:  129.10400000,Danceability:  84%, A#, Minor,Energy:  64%,Valence:  73%,Acousticness:  8%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  31%
30,Llévame Contigo,Romeo Santos,http://www.spotontrack.com/track/llevame-contigo/114514,https://open.spotify.com/track/5bK3dAjOf0yLFVLalwX54q,5bK3dAjOf0yLFVLalwX54q,,BPM:  119.07900000,Danceability:  81%, G, Minor,Energy:  69%,Valence:  92%,Acousticness:  60%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  9%
31,Solita,Prince Royce,http://www.spotontrack.com/track/solita/168225,https://open.spotify.com/track/7f7hBMVpdt2KGVOMHCGQnl,7f7hBMVpdt2KGVOMHCGQnl,https://p.scdn.co/mp3-preview/cfd92f918edada9e3247849f145995620e16431c?cid=null,BPM:  129.94200000,Danceability:  78%, B, Major,Energy:  68%,Valence:  76%,Acousticness:  40%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  9%
32,Nos Equivocamos,Voz A Voz,http://www.spotontrack.com/track/nos-equivocamos/16886393,https://open.spotify.com/track/7HmmaqmC7FKjtD7FJCGRf2,7HmmaqmC7FKjtD7FJCGRf2,https://p.scdn.co/mp3-preview/fa171bfb512c2940f62c6b3b185be17aa5a8b5ad?cid=null,BPM:  129.99400000,Danceability:  87%, B, Minor,Energy:  76%,Valence:  96%,Acousticness:  41%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  10%
33,La Pared,Joe Veras,http://www.spotontrack.com/track/la-pared/2159709,https://open.spotify.com/track/6OXuPBJvkktBQ5I0B3wLgR,6OXuPBJvkktBQ5I0B3wLgR,https://p.scdn.co/mp3-preview/e91a0db730c380dae8ce6396d24a0406a3d2946f?cid=null,BPM:  135.06000000,Danceability:  91%, C#, Minor,Energy:  65%,Valence:  87%,Acousticness:  16%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  31%
34,"Vagabundo, Borracho y Loco",Kiko Rodriguez,http://www.spotontrack.com/track/vagabundo-borracho-y-loco/1618790,https://open.spotify.com/track/1O2fScskNkmR91eEXvrcrv,1O2fScskNkmR91eEXvrcrv,https://p.scdn.co/mp3-preview/4ce1dd965d1b021b1d3cfeb902231383d310bebf?cid=null,BPM:  148.28000000,Danceability:  74%, F#, Minor,Energy:  47%,Valence:  96%,Acousticness:  73%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  4%
35,Hilito,Romeo Santos,http://www.spotontrack.com/track/hilito/5173,https://open.spotify.com/track/6CKlQHQIxhWtq7MnEJ6QCz,6CKlQHQIxhWtq7MnEJ6QCz,https://p.scdn.co/mp3-preview/07dc9d97624d2b6d845bc876aece735be7a30e91?cid=null,BPM:  117.01200000,Danceability:  87%, F, Minor,Energy:  73%,Valence:  87%,Acousticness:  35%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  11%
36,Culpa al Corazón,Prince Royce,http://www.spotontrack.com/track/culpa-al-corazon/28617,https://open.spotify.com/track/0KBfGeUKLjNaernyUDUqgM,0KBfGeUKLjNaernyUDUqgM,,BPM:  122.98600000,Danceability:  85%, C, Major,Energy:  68%,Valence:  92%,Acousticness:  41%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  9%
37,Si Tu Me Dices Ven (HD Digital Remastered),Zacarias Ferreira,http://www.spotontrack.com/track/si-tu-me-dices-ven-hd-digital-remastered/4135159,https://open.spotify.com/track/6cyzaOgT4FOQ5V6Tdl9hYx,6cyzaOgT4FOQ5V6Tdl9hYx,https://p.scdn.co/mp3-preview/e7aaf5537a6878b5687f8e601a6d875cf105a461?cid=null,BPM:  109.95100000,Danceability:  91%, D, Minor,Energy:  57%,Valence:  85%,Acousticness:  15%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  17%
38,No Es una Novela,Monchy & Alexandra,http://www.spotontrack.com/track/no-es-una-novela/1127509,https://open.spotify.com/track/6PqaUk1aS7KXHXBr8iELKb,6PqaUk1aS7KXHXBr8iELKb,https://p.scdn.co/mp3-preview/3859d48e140d7877e76ace4734ebcd30e72f46b2?cid=null,BPM:  127.96500000,Danceability:  89%, C#, Minor,Energy:  76%,Valence:  83%,Acousticness:  43%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  11%
39,Just As I Am,Spiff TV,http://www.spotontrack.com/track/just-as-i-am/9938168,https://open.spotify.com/track/1iKMpywaaihrz8gqaRqzp1,1iKMpywaaihrz8gqaRqzp1,https://p.scdn.co/mp3-preview/7dd7d350ad88cc922e6fb01ee979bb597871356e?cid=null,BPM:  129.93700000,Danceability:  68%, G#, Minor,Energy:  75%,Valence:  71%,Acousticness:  24%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  11%
40,24 Horas,24 Horas,http://www.spotontrack.com/track/24-horas/1081605,https://open.spotify.com/track/6mmza1GaPukLZ7tDYWcKj1,6mmza1GaPukLZ7tDYWcKj1,,BPM:  126.97600000,Danceability:  81%, G, Minor,Energy:  68%,Valence:  96%,Acousticness:  21%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  10%
41,Perteneces a Nadie,Esme,http://www.spotontrack.com/track/perteneces-a-nadie/17725292,https://open.spotify.com/track/1xpPTsms38ufxj8poLztUz,1xpPTsms38ufxj8poLztUz,https://p.scdn.co/mp3-preview/218bfb2b1c45b02b76353be78fa9453c29ee1a0b?cid=null,BPM:  125.00000000,Danceability:  78%, E, Minor,Energy:  74%,Valence:  67%,Acousticness:  67%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  17%
42,No Dejo De Amarte,Karlos Rosé,http://www.spotontrack.com/track/no-dejo-de-amarte/6493669,https://open.spotify.com/track/7CLP5aEc8SAYdhBqy2Zwjr,7CLP5aEc8SAYdhBqy2Zwjr,,BPM:  130.00800000,Danceability:  77%, C, Minor,Energy:  78%,Valence:  74%,Acousticness:  47%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  7%
43,Intentalo Tu,Joe Veras,http://www.spotontrack.com/track/intentalo-tu/1670734,https://open.spotify.com/track/2UFQi6Zr1yeaaUaUmbw4ZI,2UFQi6Zr1yeaaUaUmbw4ZI,https://p.scdn.co/mp3-preview/c290f17c8946bae98c0bc9cff95a8b957afe1cfd?cid=null,BPM:  132.18800000,Danceability:  86%, C#, Major,Energy:  70%,Valence:  60%,Acousticness:  20%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  29%
44,Verdad o Reto,Daniel Santacruz,http://www.spotontrack.com/track/verdad-o-reto/6979138,https://open.spotify.com/track/7IPzMYkI9CW5xWXNHYbbfu,7IPzMYkI9CW5xWXNHYbbfu,https://p.scdn.co/mp3-preview/66ce14d22b12267982a9cd5616c5bb224b1cc3f8?cid=null,BPM:  125.00900000,Danceability:  83%, B, Minor,Energy:  76%,Valence:  95%,Acousticness:  59%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  16%
45,Los infieles,Aventura,http://www.spotontrack.com/track/los-infieles/1618667,https://open.spotify.com/track/0HDHY6RSHHG2ZTE0cMT4GJ,0HDHY6RSHHG2ZTE0cMT4GJ,https://p.scdn.co/mp3-preview/49f3164c05eb3ac8bd1cafb866334b1847b67e64?cid=null,BPM:  132.92000000,Danceability:  74%, A, Minor,Energy:  71%,Valence:  83%,Acousticness:  20%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  6%
46,El malo,Aventura,http://www.spotontrack.com/track/el-malo/234283,https://open.spotify.com/track/217bRMES4HVbPdUe8l8ECN,217bRMES4HVbPdUe8l8ECN,https://p.scdn.co/mp3-preview/059f7d9abfbc62d5c19b11fec5934a403c9fb3f4?cid=null,BPM:  125.89500000,Danceability:  81%, C#, Major,Energy:  52%,Valence:  72%,Acousticness:  17%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  13%
47,Me Voy (feat. Romeo Santos),"Héctor Acosta ""El Torito""",http://www.spotontrack.com/track/me-voy-feat-romeo-santos/1670772,https://open.spotify.com/track/4AX0mPH9LnPtRPU7qYqTHW,4AX0mPH9LnPtRPU7qYqTHW,https://p.scdn.co/mp3-preview/41a9bec670b68ba6e2e9934d4d4cb5501deb62f6?cid=null,BPM:  131.95400000,Danceability:  89%, E, Minor,Energy:  72%,Valence:  87%,Acousticness:  46%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  25%
48,Te Robaré,Prince Royce,http://www.spotontrack.com/track/te-robare/73285,https://open.spotify.com/track/3fPMRb2gcFTZcYmR0bXnDc,3fPMRb2gcFTZcYmR0bXnDc,https://p.scdn.co/mp3-preview/d78e82bddb8c913dae522b13776f7edc2d22d039?cid=null,BPM:  127.95300000,Danceability:  79%, G, Minor,Energy:  65%,Valence:  89%,Acousticness:  20%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  10%
