Pos.,Song,Artist,LINK SPOTON,LINK SPOTIFY,ID,30s-Preview,BPM,KEY,MODE,DANCEABILITY,ENERGY,VALENCE,ACOUSTICNESS,INSTRUMENTALNESS,SPEECHINESS,LIVENESS
1,On the Frame (Acoustic),Beta Radio,http://www.spotontrack.com/track/on-the-frame-acoustic/23338214,https://open.spotify.com/track/5TjAhRtHiLjCrzuOhgk50U,5TjAhRtHiLjCrzuOhgk50U,https://p.scdn.co/mp3-preview/9d76a0bb0342074335b0f6f4edc935953d817220?cid=null,  140.61700000,  D,  Minor,  46%,  26%,  30%,  96%,  0%,  3%,  10%
2,All The Pretty Girls - Recorded at Spotify Studios NYC,Kaleo,http://www.spotontrack.com/track/all-the-pretty-girls-recorded-at-spotify-studios-nyc/3703240,https://open.spotify.com/track/2Sqv9Ne6ibOZsKxY7o0t6t,2Sqv9Ne6ibOZsKxY7o0t6t,https://p.scdn.co/mp3-preview/2ca29ac03b88d30f86ad2458789ab9e4a6495f5b?cid=null,  138.68300000,  C#,  Major,  47%,  27%,  18%,  85%,  0%,  3%,  12%
3,Colder Heavens,Blanco White,http://www.spotontrack.com/track/colder-heavens/11917731,https://open.spotify.com/track/15qtOgzv7mW3CQWQVgWIM6,15qtOgzv7mW3CQWQVgWIM6,https://p.scdn.co/mp3-preview/b35282edd7227580d007879624998c50e7f4b8a1?cid=null,  91.89900000,  F,  Minor,  38%,  55%,  28%,  77%,  0%,  4%,  9%
4,Bloom - Bonus Track,The Paper Kites,http://www.spotontrack.com/track/bloom-bonus-track/9699,https://open.spotify.com/track/41yIvlFgvGwxq8qTqAR7eG,41yIvlFgvGwxq8qTqAR7eG,https://p.scdn.co/mp3-preview/4eff0d595f64fc2f8afa7cfe7b891c35f5f979b8?cid=null,  96.00200000,  C#,  Major,  59%,  42%,  39%,  88%,  0%,  2%,  11%
5,Carry You,Novo Amor,http://www.spotontrack.com/track/carry-you/15927402,https://open.spotify.com/track/1MwdkGVOmlOEj13DBQHPuJ,1MwdkGVOmlOEj13DBQHPuJ,https://p.scdn.co/mp3-preview/e00236fe911d71e6e61384100e5543ccebb829cf?cid=null,  92.29100000,  G,  Major,  33%,  40%,  4%,  56%,  8%,  3%,  13%
6,Melatonin (Unplugged),Phoria,http://www.spotontrack.com/track/melatonin-unplugged/11608234,https://open.spotify.com/track/1IkjoLXB9LEf3w32Wk07X3,1IkjoLXB9LEf3w32Wk07X3,https://p.scdn.co/mp3-preview/e5c9d16355c1f0df4bc31b7e099cf3182f786410?cid=null,  128.87100000,  G#,  Minor,  54%,  22%,  28%,  88%,  0%,  3%,  35%
7,Whippoorwill,Darlingside,http://www.spotontrack.com/track/whippoorwill/3013713,https://open.spotify.com/track/1n0UUVUi4OzfjJEtuBKWfL,1n0UUVUi4OzfjJEtuBKWfL,https://p.scdn.co/mp3-preview/e1c4cd36c25aec9fb268208c27acb889439c615e?cid=null,  96.41500000,  B,  Major,  64%,  58%,  38%,  64%,  4%,  3%,  9%
8,Sweetly,The Show Ponies,http://www.spotontrack.com/track/sweetly/7220131,https://open.spotify.com/track/5hLwt3TSmr9pA3SY5Gh3s3,5hLwt3TSmr9pA3SY5Gh3s3,https://p.scdn.co/mp3-preview/2bddaa39645f0321f76eea8ffee78bc059b0b248?cid=null,  90.98200000,  G,  Major,  62%,  20%,  62%,  86%,  6%,  3%,  14%
9,Boardwalks,Little May,http://www.spotontrack.com/track/boardwalks/429634,https://open.spotify.com/track/3jDF66ZATb0FcHNnOqeyDK,3jDF66ZATb0FcHNnOqeyDK,,  129.02800000,  F#,  Major,  65%,  38%,  29%,  81%,  5%,  3%,  11%
10,Home,Hollow Coves,http://www.spotontrack.com/track/home/12756777,https://open.spotify.com/track/4fPQ3n56NbnONBtlaPMa82,4fPQ3n56NbnONBtlaPMa82,https://p.scdn.co/mp3-preview/82181973f685cc78487f9e05f59110096afa9ee8?cid=null,  84.87900000,  C#,  Major,  50%,  50%,  25%,  86%,  0%,  3%,  12%
