Pos.,Song,Artist,LINK SPOTON,LINK SPOTIFY,ID,30s-Preview,BPM,KEY,MODE,DANCEABILITY,ENERGY,VALENCE,ACOUSTICNESS,INSTRUMENTALNESS,SPEECHINESS,LIVENESS
1,Felices los 4,Maluma,http://www.spotontrack.com/track/felices-los-4/19115519,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,0qYTZCo5Bwh1nsUFGZP3zn,https://p.scdn.co/mp3-preview/1833b3eee258554c6ac92d3b39786ecfcd66a605?cid=null,  93.97300000,  F,  Major,  76%,  79%,  73%,  23%,  0%,  15%,  35%
2,Escápate Conmigo,Wisin,http://www.spotontrack.com/track/escpate-conmigo/13472518,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6,2cnKEkpVUSV4wnjQiTWfH6,https://p.scdn.co/mp3-preview/484d7d75b89ab7ef16ff52a02a5e1aa489aec825?cid=null,  92.02800000,  G#,  Minor,  75%,  86%,  75%,  2%,  0%,  6%,  9%
3,Me Rehúso,Danny Ocean,http://www.spotontrack.com/track/me-rehuso/3067746,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ,6Zosz8w6CmdGMZM6p4JlbQ,https://p.scdn.co/mp3-preview/edd19436fa7da66fb119cdf301fcd1d1367e888d?cid=null,  104.82700000,  C#,  Major,  75%,  79%,  47%,  3%,  0%,  7%,  5%
4,Hey DJ,CNCO,http://www.spotontrack.com/track/hey-dj/16198821,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,209gZgcfLq2aUuu51vOWBl,https://p.scdn.co/mp3-preview/2f5806d124555f6d2d011dfd7342d718ac2b9d00?cid=null,  89.98000000,  F,  Major,  79%,  82%,  45%,  3%,  0%,  9%,  39%
5,Ahora Dice,Chris Jeday,http://www.spotontrack.com/track/ahora-dice/13050023,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,22eADXu8DfOAUEDw4vU8qy,,  143.96500000,  F#,  Major,  71%,  69%,  42%,  25%,  0%,  14%,  13%
6,Tu Foto,Ozuna,http://www.spotontrack.com/track/tu-foto/20718450,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp,0Szp49tpFasIjX04Mcsydp,https://p.scdn.co/mp3-preview/15753ad31fedd22555a41accf15379de94e62492?cid=null,  175.90700000,  G,  Major,  74%,  48%,  78%,  21%,  0%,  5%,  9%
7,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,http://www.spotontrack.com/track/sola-remix-feat-daddy-yankee-wisin-farruko-zion-lennox/6549036,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,5q2JbCNi4FcnglgPfxcV65,https://p.scdn.co/mp3-preview/a2199599c73b02a17e1fbabdfa04b67335ca8e16?cid=null,None,None,None,None,None,None,None,None,None,None
8,Sigo Extrañándote,J Balvin,http://www.spotontrack.com/track/sigo-extranandote/944739,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8,6qDF4wWL49CAVbgT7yuHl8,,  93.02200000,  A,  Major,  89%,  85%,  92%,  15%,  0%,  24%,  21%
9,El Amante,Nicky Jam,http://www.spotontrack.com/track/el-amante/7167457,https://open.spotify.com/track/1q54kHOh0pZSfRlSHDifHO,1q54kHOh0pZSfRlSHDifHO,,  179.91000000,  G#,  Major,  68%,  69%,  75%,  24%,  0%,  4%,  14%
10,Bailame,Nacho,http://www.spotontrack.com/track/bailame/17621719,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C,7lRsNbdOGykkMAgsqs4R1C,,  96.02900000,  F#,  Major,  82%,  87%,  56%,  16%,  0%,  18%,  5%
