Pos.,Song,Artist,LINK SPOTON,LINK SPOTIFY,ID,30s-Preview,BPM,KEY,MODE,DANCEABILITY,ENERGY,VALENCE,ACOUSTICNESS,INSTRUMENTALNESS,SPEECHINESS,LIVENESS
1,Somethin Tells Me,Bryson Tiller,http://www.spotontrack.com/track/somethin-tells-me/22767383,https://open.spotify.com/track/6Kq3dPaKCOeA1BcU3JgK42,6Kq3dPaKCOeA1BcU3JgK42,https://p.scdn.co/mp3-preview/1f437351b097a74b6f4bf0c8df69b831782d2d93?cid=null,  90.11800000,  F,  Minor,  74%,  61%,  44%,  4%,  0%,  18%,  11%
2,Run Me Dry,Bryson Tiller,http://www.spotontrack.com/track/run-me-dry/23767926,https://open.spotify.com/track/5GG3knKdxKWrNboRijxeKF,5GG3knKdxKWrNboRijxeKF,https://p.scdn.co/mp3-preview/a49586868718985f927cc3f2e86ea57b65da08ee?cid=null,  193.88100000,  A,  Minor,  65%,  76%,  61%,  39%,  0%,  49%,  20%
3,No Longer Friends,Bryson Tiller,http://www.spotontrack.com/track/no-longer-friends/23767919,https://open.spotify.com/track/4IdAIZRVkwuQQnHpi529cn,4IdAIZRVkwuQQnHpi529cn,https://p.scdn.co/mp3-preview/ec7ef516522f4c821193a747fc3a87c79d202d44?cid=null,  114.13300000,  B,  Major,  65%,  66%,  37%,  21%,  0%,  33%,  11%
4,High Stakes,Bryson Tiller,http://www.spotontrack.com/track/high-stakes/23767927,https://open.spotify.com/track/6ZCsp2zQsSTCilvGVefGVN,6ZCsp2zQsSTCilvGVefGVN,https://p.scdn.co/mp3-preview/3884722ba62dace8f4db90bd73da22330b004d46?cid=null,  79.18500000,  G,  Major,  49%,  67%,  23%,  4%,  0%,  45%,  62%
5,Set It Off,Bryson Tiller,http://www.spotontrack.com/track/set-it-off/23767932,https://open.spotify.com/track/1oQQ5pf4hft7C3s75B8fXb,1oQQ5pf4hft7C3s75B8fXb,https://p.scdn.co/mp3-preview/3172483c8fa245ea1772e710cd763770ca10d087?cid=null,  145.96900000,  G,  Minor,  54%,  51%,  27%,  55%,  0%,  18%,  25%
6,Redbone,Childish Gambino,http://www.spotontrack.com/track/redbone/6484657,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,3kxfsdsCpFgN412fpnW85Y,,  160.08300000,  C#,  Major,  74%,  36%,  59%,  20%,  1%,  8%,  14%
7,Slide,Calvin Harris,http://www.spotontrack.com/track/slide/9935214,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk,6gpcs5eMhJwax4mIfKDYQk,https://p.scdn.co/mp3-preview/d3e8d7ced6e0f3844b8c0309a7d4baad511a3518?cid=null,  104.07900000,  C#,  Minor,  74%,  76%,  51%,  33%,  0%,  5%,  52%
8,Die For You,The Weeknd,http://www.spotontrack.com/track/die-for-you/6239565,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,2LBqCSwhJGcFQeTHMVGwy3,,  133.49600000,  C#,  Minor,  60%,  51%,  50%,  10%,  0%,  6%,  15%
9,Nobody Else But You,Trey Songz,http://www.spotontrack.com/track/nobody-else-but-you/9144123,https://open.spotify.com/track/2slbJay1LPdOafYYCTe5Ss,2slbJay1LPdOafYYCTe5Ss,https://p.scdn.co/mp3-preview/98f688cf8830b8d6260de45073e8c3da525b88d1?cid=null,  139.97200000,  F,  Minor,  70%,  61%,  22%,  4%,  0%,  16%,  25%
10,Love On The Brain,Rihanna,http://www.spotontrack.com/track/love-on-the-brain/623,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02,2aksifNn5ph8igDOkPBA02,,  171.95700000,  E,  Minor,  51%,  64%,  39%,  8%,  0%,  5%,  7%
11,Love Galore,SZA,http://www.spotontrack.com/track/love-galore/20605235,https://open.spotify.com/track/1E2ePlJmijVSX0o1G9TFgR,1E2ePlJmijVSX0o1G9TFgR,https://p.scdn.co/mp3-preview/7c9e74dd63eea9bb35bc69068cc91b8e675cc5b3?cid=null,  134.93800000,  C,  Major,  79%,  63%,  38%,  10%,  0%,  8%,  11%
12,Fake Love,Drake,http://www.spotontrack.com/track/fake-love/3566071,https://open.spotify.com/track/6NMNgWgEAzde5M8U3lc6FN,6NMNgWgEAzde5M8U3lc6FN,,  133.90700000,  A,  Minor,  92%,  54%,  73%,  18%,  0%,  30%,  10%
13,That's What I Like (feat. Gucci Mane) - Remix,Bruno Mars,http://www.spotontrack.com/track/that-s-what-i-like-feat-gucci-mane-remix/19118502,https://open.spotify.com/track/1BEMASUZQDqN5UGxMb1m6A,1BEMASUZQDqN5UGxMb1m6A,https://p.scdn.co/mp3-preview/46f387d4d6fe63d23cee60e309da358b3188034e?cid=null,  134.07100000,  C#,  Major,  85%,  56%,  89%,  2%,  0%,  5%,  8%
14,Location,Khalid,http://www.spotontrack.com/track/location/282055,https://open.spotify.com/track/6XOin64PR2Oj4W0tO8GOQv,6XOin64PR2Oj4W0tO8GOQv,,  80.04700000,  C#,  Minor,  76%,  26%,  33%,  46%,  2%,  45%,  10%
15,Cranes in the Sky,Solange,http://www.spotontrack.com/track/cranes-in-the-sky/2183369,https://open.spotify.com/track/48EjSdYh8wz2gBxxqzrsLe,48EjSdYh8wz2gBxxqzrsLe,https://p.scdn.co/mp3-preview/a0d13ea0e7dcd0ccae5f6bf96ce2daede4d2841e?cid=null,  96.98800000,  F#,  Major,  72%,  62%,  49%,  41%,  0%,  5%,  24%
16,Don't Go,Kevin Ross,http://www.spotontrack.com/track/don-t-go/13500092,https://open.spotify.com/track/2bMn6j2eW7urPkxHnwk9nq,2bMn6j2eW7urPkxHnwk9nq,,  89.95900000,  G#,  Minor,  62%,  71%,  55%,  57%,  0%,  12%,  12%
17,Thick Of It,Mary J. Blige,http://www.spotontrack.com/track/thick-of-it/20625477,https://open.spotify.com/track/09j5G3cPZQdRIv0VhVLAZz,09j5G3cPZQdRIv0VhVLAZz,,  126.95400000,  D,  Major,  68%,  59%,  49%,  44%,  0%,  6%,  18%
