1,Despacito - Remix,Luis Fonsi,http://www.spotontrack.com/track/despacito-remix/18315714,https://open.spotify.com/track/6rPO02ozF3bM7NnOV4h6s2,6rPO02ozF3bM7NnOV4h6s2,,0.63,0.815,2,-4.265,1,0.152,0.222,0,0.091,0.814,88.357,228827,4
2,That's What I Like,Bruno Mars,http://www.spotontrack.com/track/that-s-what-i-like/5576083,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,0KKkJNfGyhkQ5aFogxQAPU,https://p.scdn.co/mp3-preview/f09116ce18bd77f543e68a925e5a96509e79ac6a?cid=null,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.853,134.066,206693,4
3,I'm the One,DJ Khaled,http://www.spotontrack.com/track/i-m-the-one/20614606,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2,72Q0FQQo32KJloivv5xge2,https://p.scdn.co/mp3-preview/f6fdecfbaae1ed54bcfbae1bc2b088e8807c9783?cid=null,0.599,0.667,7,-4.267,1,0.0367,0.0533,0,0.134,0.811,80.984,288877,4
4,Shape of You,Ed Sheeran,http://www.spotontrack.com/track/shape-of-you/7006170,https://open.spotify.com/track/0FE9t6xYkqWXU2ahLh6D8X,0FE9t6xYkqWXU2ahLh6D8X,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=null,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.933,95.977,233713,4
5,HUMBLE.,Kendrick Lamar,http://www.spotontrack.com/track/humble/14938591,https://open.spotify.com/track/31c9IHwCIONmUYW0jL7Riz,31c9IHwCIONmUYW0jL7Riz,,0.907,0.591,1,-7.507,0,0.105,0.000359,2.81e-05,0.0897,0.419,149.992,177604,4
6,Something Just Like This,The Chainsmokers,http://www.spotontrack.com/track/something-just-like-this/9887991,https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH,1dNIEtp7AY3oDAKCGg2XkH,https://p.scdn.co/mp3-preview/499eefd42a24ec562c464bd7acfad7ed41eb9179?cid=null,0.607,0.649,11,-6.695,0,0.0362,0.0306,2.46e-05,0.174,0.47,102.996,247627,4
7,Mask Off,Future,http://www.spotontrack.com/track/mask-off/9075349,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8,3rOSwuTsUlJp0Pu0MkN8r8,https://p.scdn.co/mp3-preview/0519fc7c44d418ca6c721d9aa83e9597065288e1?cid=null,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.286,150.062,204600,4
8,XO TOUR Llif3,Lil Uzi Vert,http://www.spotontrack.com/track/xo-tour-llif3/13474231,https://open.spotify.com/track/0q1iweKeEOzuxrWL7cOckw,0q1iweKeEOzuxrWL7cOckw,https://p.scdn.co/mp3-preview/f55d42b28e1be0e3f013bb4d2a7522c8d2fcb0fa?cid=null,0.722,0.614,11,-7.549,0,0.115,0.00466,0,0.106,0.504,154.903,182728,4
9,Stay (with Alessia Cara),Zedd,http://www.spotontrack.com/track/stay-with-alessia-cara/9893206,https://open.spotify.com/track/6uBhi9gBXWjanegOb2Phh0,6uBhi9gBXWjanegOb2Phh0,,0.457,0.627,5,-5.091,0,0.111,0.238,0,0.116,0.535,101.384,210091,4
10,Malibu,Miley Cyrus,http://www.spotontrack.com/track/malibu/22766638,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O,2habSXqcJGExM6JJyskY7O,https://p.scdn.co/mp3-preview/85e214544e55a8fc19d57335f304792804421501?cid=null,0.565,0.782,8,-6.413,1,0.0506,0.0577,4.16e-05,0.0757,0.392,140.004,231906,4
11,Say You Won't Let Go,James Arthur,http://www.spotontrack.com/track/say-you-won-t-let-go/2101179,https://open.spotify.com/track/1Pw5C4N6Fn5E4mGCxmbbVa,1Pw5C4N6Fn5E4mGCxmbbVa,https://p.scdn.co/mp3-preview/b079cbca31f049a450a35a329259f44244443043?cid=null,0.4,0.564,10,-7.444,1,0.0523,0.693,0,0.0863,0.449,99.269,211240,4
