1,Crazy,Gnarls Barkley,http://www.spotontrack.com/track/crazy-single-version/530584,https://open.spotify.com/track/6FlAGda9qkDhTU7ctFM4uG,6FlAGda9qkDhTU7ctFM4uG,https://p.scdn.co/mp3-preview/8a3dbfe82cab0d4542f5c56ecc38419bdd217f9c?cid=null,0.867,0.551,0,-5.169,0,0.0338,0.0284,0.0524,0.0851,0.659,111.941,179173,4
2,Hollaback Girl,Gwen Stefani,http://www.spotontrack.com/track/hollaback-girl/364826,https://open.spotify.com/track/0eqH0ALoDQevq59YcQ53KE,0eqH0ALoDQevq59YcQ53KE,,0.926,0.916,10,-2.221,0,0.0929,0.35,6.17e-06,0.0234,0.903,110.007,199853,4
3,SexyBack,Justin Timberlake,http://www.spotontrack.com/track/sexyback/266585,https://open.spotify.com/track/40VAYnnGBDLQVXD8D1ager,40VAYnnGBDLQVXD8D1ager,https://p.scdn.co/mp3-preview/e4ff7d627759f7c67e5814ddd821ba6b507136da?cid=null,0.967,0.583,7,-5.562,0,0.0789,0.0584,0,0.0519,0.965,117.0,242733,4
4,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,http://www.spotontrack.com/track/i-took-a-pill-in-ibiza-seeb-remix/293490,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,17Fd6Yb7mSbinKG8LoWfFl,,0.663,0.713,7,-6.647,0,0.112,0.0353,7.68e-06,0.0843,0.684,101.965,197933,4
5,Dani California,Red Hot Chili Peppers,http://www.spotontrack.com/track/dani-california/67438,https://open.spotify.com/track/10Nmj3JCNoMeBQ87uw5j8k,10Nmj3JCNoMeBQ87uw5j8k,https://p.scdn.co/mp3-preview/55066eff6bdeda6fc9f7286f45076453b360ce78?cid=null,0.553,0.865,9,-4.751,0,0.0409,0.017,1.05e-05,0.267,0.725,96.161,283000,4
6,Don't Let Me Down,The Chainsmokers,http://www.spotontrack.com/track/don-t-let-me-down/122,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK,1i1fxkWeaMmKEB4T7zqbzK,https://p.scdn.co/mp3-preview/4f410d4293b502e25df3e782c443d1745382c3da?cid=null,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.419,159.803,208373,4
7,Bad Girls,M.I.A.,http://www.spotontrack.com/track/bad-girls/589856,https://open.spotify.com/track/6nzXkCBOhb2mxctNihOqbb,6nzXkCBOhb2mxctNihOqbb,,0.64,0.92,1,-2.597,1,0.0594,0.00129,0,0.0914,0.369,143.434,227520,4
8,One Dance,Drake,http://www.spotontrack.com/track/one-dance/266163,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,1xznGGDReH1oQq0xzbwXa3,,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.376,103.989,173987,4
9,Hips Don't Lie,Shakira,http://www.spotontrack.com/track/hips-don-t-lie/18228,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V,3ZFTkvIE7kyPt6Nu3PEa7V,https://p.scdn.co/mp3-preview/3859547944f57cfb7b996f6551148c9467889d4b?cid=null,0.778,0.824,10,-5.892,0,0.0712,0.284,0,0.405,0.767,100.024,218093,4
10,Cheap Thrills,Sia,http://www.spotontrack.com/track/cheap-thrills/92,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,27SdWb2rFzO6GWiYDBTD9j,https://p.scdn.co/mp3-preview/88816b2040a092aa99d5b0e42945d79dc5027c1a?cid=null,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.73,89.976,211667,4
