12,Looking Too Closely,Fink,http://www.spotontrack.com/track/looking-too-closely/423515,https://open.spotify.com/track/5pprMm8skaIumWGuksypXt,5pprMm8skaIumWGuksypXt,,BPM:  175.09400000,Danceability:  48%, D, Major,Energy:  52%,Valence:  10%,Acousticness:  33%,Instrumentalness:  75%,Speechiness:  4%,Liveness:  9%
13,Smoke Signals,Phoebe Bridgers,http://www.spotontrack.com/track/smoke-signals/7067301,https://open.spotify.com/track/7or32cFiQXLE1pHMIe0RVk,7or32cFiQXLE1pHMIe0RVk,https://p.scdn.co/mp3-preview/4fabaab09bb832b9348042426da93a05c2e59c41?cid=null,BPM:  144.44300000,Danceability:  31%, A#, Major,Energy:  24%,Valence:  19%,Acousticness:  95%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  11%
14,Forest Fires,Axel Flovent,http://www.spotontrack.com/track/forest-fires/117683,https://open.spotify.com/track/5wUHSFgO5shSQyeuM3nyfl,5wUHSFgO5shSQyeuM3nyfl,https://p.scdn.co/mp3-preview/9375ec63ac4878c8038c3ccc2fd0057fb0fe366b?cid=null,BPM:  118.00700000,Danceability:  62%, G, Minor,Energy:  29%,Valence:  15%,Acousticness:  70%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  12%
15,Us - Acoustic,Anna Of The North,http://www.spotontrack.com/track/us-acoustic/3140165,https://open.spotify.com/track/3tzvuRlfTveGyR12A4WFV6,3tzvuRlfTveGyR12A4WFV6,https://p.scdn.co/mp3-preview/ef8462de548217adf57e1905ba366f2789494fc4?cid=null,BPM:  81.53200000,Danceability:  29%, D, Major,Energy:  18%,Valence:  16%,Acousticness:  97%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  11%
16,Bones,Dustin Tebbutt,http://www.spotontrack.com/track/bones/594448,https://open.spotify.com/track/3QHGsGyh09lILErhfWyW4M,3QHGsGyh09lILErhfWyW4M,,BPM:  77.06500000,Danceability:  56%, D, Major,Energy:  66%,Valence:  19%,Acousticness:  62%,Instrumentalness:  31%,Speechiness:  3%,Liveness:  11%
17,Slacks,St. South,http://www.spotontrack.com/track/slacks/89842,https://open.spotify.com/track/01qIefOW1UdSDS1mHoSZ3x,01qIefOW1UdSDS1mHoSZ3x,https://p.scdn.co/mp3-preview/670d6caee11384b802574e3063aee78a6da2ade9?cid=null,BPM:  126.01300000,Danceability:  75%, B, Major,Energy:  53%,Valence:  33%,Acousticness:  77%,Instrumentalness:  0%,Speechiness:  9%,Liveness:  8%
18,All My Friends,Dermot Kennedy,http://www.spotontrack.com/track/all-my-friends/12667063,https://open.spotify.com/track/3Ot86rTSFlmeVYBPZZH9dl,3Ot86rTSFlmeVYBPZZH9dl,https://p.scdn.co/mp3-preview/26a6a1768dffbbb4641da137c418d1f0f29e8b03?cid=null,BPM:  105.32300000,Danceability:  52%, C, Major,Energy:  53%,Valence:  30%,Acousticness:  49%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  35%
19,Lost,Liza Anne,http://www.spotontrack.com/track/lost/96591,https://open.spotify.com/track/078kLYfYCjjPMbABqriXT3,078kLYfYCjjPMbABqriXT3,https://p.scdn.co/mp3-preview/52177d20d6029a3e5533f9f18327dd7153160e47?cid=null,BPM:  84.25500000,Danceability:  44%, C, Major,Energy:  39%,Valence:  10%,Acousticness:  87%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  11%
20,Notion,Tash Sultana,http://www.spotontrack.com/track/notion/676110,https://open.spotify.com/track/2DkRjzvzTxzeijk0pjSNBD,2DkRjzvzTxzeijk0pjSNBD,,BPM:  60.04200000,Danceability:  35%, E, Minor,Energy:  41%,Valence:  7%,Acousticness:  39%,Instrumentalness:  1%,Speechiness:  3%,Liveness:  19%
21,Caving,Seavera,http://www.spotontrack.com/track/caving/269732,https://open.spotify.com/track/6RJEdfCBmwSxUdW3pfWmvt,6RJEdfCBmwSxUdW3pfWmvt,https://p.scdn.co/mp3-preview/6ac942b4a8352cb8574aad648dedc45b72e2ca49?cid=null,BPM:  136.56600000,Danceability:  57%, B, Minor,Energy:  48%,Valence:  15%,Acousticness:  53%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  10%
22,Alpine,Linying,http://www.spotontrack.com/track/alpine/1636211,https://open.spotify.com/track/4LjEtMOgd7tGzbMT02JDSz,4LjEtMOgd7tGzbMT02JDSz,https://p.scdn.co/mp3-preview/763d5481340483c0e639706f4e2b3eb2a00de7f5?cid=null,BPM:  140.12600000,Danceability:  34%, E, Major,Energy:  39%,Valence:  7%,Acousticness:  80%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  9%
23,Konfyt,Abi Ocia,http://www.spotontrack.com/track/konfyt/10384273,https://open.spotify.com/track/0jB6HT58fKEpYTwg1ljbgs,0jB6HT58fKEpYTwg1ljbgs,https://p.scdn.co/mp3-preview/0a2612777a44025d27ef7391ae0242d376483783?cid=null,BPM:  173.82100000,Danceability:  35%, E, Minor,Energy:  44%,Valence:  4%,Acousticness:  53%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  89%
24,Steady,The Staves,http://www.spotontrack.com/track/steady/360522,https://open.spotify.com/track/6e9UaKOYpELuMxus8Ppi0U,6e9UaKOYpELuMxus8Ppi0U,https://p.scdn.co/mp3-preview/799a62468ff1718141d1e30006bbbaaa006a176a?cid=null,BPM:  138.85700000,Danceability:  43%, B, Minor,Energy:  63%,Valence:  21%,Acousticness:  62%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  11%
25,Hummed Low,Odessa,http://www.spotontrack.com/track/hummed-low/676146,https://open.spotify.com/track/3MSRmDOU1SGSQn3Dn8qoel,3MSRmDOU1SGSQn3Dn8qoel,,BPM:  189.69500000,Danceability:  44%, A, Major,Energy:  50%,Valence:  49%,Acousticness:  48%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  10%
26,Illuminate,The Kite String Tangle,http://www.spotontrack.com/track/illuminate/133564,https://open.spotify.com/track/5o5SVIrVETWIQFMdgPFXPt,5o5SVIrVETWIQFMdgPFXPt,https://p.scdn.co/mp3-preview/8369d9d0034e3fa159585ec1af12692e08037119?cid=null,BPM:  92.99000000,Danceability:  55%, C, Major,Energy:  45%,Valence:  28%,Acousticness:  87%,Instrumentalness:  56%,Speechiness:  3%,Liveness:  8%
