1,Sunshine - The Knocks Remix,POWERS,http://www.spotontrack.com/track/sunshine-the-knocks-remix/2078913,https://open.spotify.com/track/24OV6VOjeJgjP0vmlbHika,24OV6VOjeJgjP0vmlbHika,,BPM:  120.00100000,Danceability:  67%, F, Minor,Energy:  95%,Valence:  28%,Acousticness:  2%,Instrumentalness:  18%,Speechiness:  13%,Liveness:  9%
2,Begin (feat. Wales),Shallou,http://www.spotontrack.com/track/begin-feat-wales/22806395,https://open.spotify.com/track/1v5J1L8FbUQya4SUQFCstk,1v5J1L8FbUQya4SUQFCstk,https://p.scdn.co/mp3-preview/89b98fa59e9f1f7fd605c41907e6fc5005bebef4?cid=null,BPM:  96.98100000,Danceability:  60%, F#, Major,Energy:  50%,Valence:  53%,Acousticness:  82%,Instrumentalness:  71%,Speechiness:  3%,Liveness:  11%
3,Plot Twist,Sigrid,http://www.spotontrack.com/track/plot-twist/19118498,https://open.spotify.com/track/6E3uDDXfklfVr1dfW7lHy7,6E3uDDXfklfVr1dfW7lHy7,,BPM:  175.91700000,Danceability:  49%, C#, Major,Energy:  66%,Valence:  20%,Acousticness:  0%,Instrumentalness:  17%,Speechiness:  4%,Liveness:  25%
4,Drama,AJR,http://www.spotontrack.com/track/drama/22806108,https://open.spotify.com/track/6TtdtW1s57AYAbXrnQMN4d,6TtdtW1s57AYAbXrnQMN4d,https://p.scdn.co/mp3-preview/1718adba845c8f88c4148c7eeb99692af71812e5?cid=null,BPM:  156.07000000,Danceability:  56%, D, Major,Energy:  62%,Valence:  67%,Acousticness:  20%,Instrumentalness:  0%,Speechiness:  17%,Liveness:  11%
5,Lovesick (feat. Felix Snow),Caroline Pennell,http://www.spotontrack.com/track/lovesick-feat-felix-snow/2076227,https://open.spotify.com/track/4BS9MBPYKNFEvaC5S7I3fN,4BS9MBPYKNFEvaC5S7I3fN,https://p.scdn.co/mp3-preview/b460eeae855aa9eb37b96f7118fa973364209a53?cid=null,BPM:  101.01100000,Danceability:  74%, A, Minor,Energy:  58%,Valence:  34%,Acousticness:  12%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  24%
6,Sun Models (feat. Madelyn Grant),ODESZA,http://www.spotontrack.com/track/sun-models-feat-madelyn-grant/40415,https://open.spotify.com/track/7jZHUhAmW5oq1cq6s8IxmK,7jZHUhAmW5oq1cq6s8IxmK,https://p.scdn.co/mp3-preview/a066c40389df84ab6396acf16a31d23401923356?cid=null,BPM:  120.00100000,Danceability:  68%, G#, Minor,Energy:  48%,Valence:  47%,Acousticness:  19%,Instrumentalness:  74%,Speechiness:  8%,Liveness:  9%
7,High Without Your Love,Loote,http://www.spotontrack.com/track/high-without-your-love/22004864,https://open.spotify.com/track/7qs2GAglLWfxEfmO8u2u0A,7qs2GAglLWfxEfmO8u2u0A,,BPM:  101.95900000,Danceability:  87%, F, Major,Energy:  49%,Valence:  78%,Acousticness:  10%,Instrumentalness:  0%,Speechiness:  8%,Liveness:  15%
8,Oh Devil,Electric Guest,http://www.spotontrack.com/track/oh-devil/9144506,https://open.spotify.com/track/1kcfGBb6kSrGqNIMW7rAlB,1kcfGBb6kSrGqNIMW7rAlB,,BPM:  96.99900000,Danceability:  90%, G, Minor,Energy:  52%,Valence:  72%,Acousticness:  12%,Instrumentalness:  1%,Speechiness:  6%,Liveness:  18%
9,Doubt (Summer Edit),Shallou,http://www.spotontrack.com/track/doubt-summer-edit/2039080,https://open.spotify.com/track/5ffwgrvw4tVlhFcI8efviN,5ffwgrvw4tVlhFcI8efviN,https://p.scdn.co/mp3-preview/7d09fe0981f6b99199326d13a7ad2065a46b862c?cid=null,BPM:  104.95000000,Danceability:  73%, D#, Major,Energy:  62%,Valence:  12%,Acousticness:  17%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  12%
10,Slow Hands,Niall Horan,http://www.spotontrack.com/track/slow-hands/21901915,https://open.spotify.com/track/27vTihlWXiz9f9lJM3XGVU,27vTihlWXiz9f9lJM3XGVU,,BPM:  85.89900000,Danceability:  73%, C, Major,Energy:  43%,Valence:  87%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  6%
11,No Matter What,Little Monarch,http://www.spotontrack.com/track/no-matter-what/3472768,https://open.spotify.com/track/4gQMDHCeHsExrWSCIMJSa4,4gQMDHCeHsExrWSCIMJSa4,https://p.scdn.co/mp3-preview/0c9d2b01dacfb68d88d0b5725e8e4ecd63665d05?cid=null,BPM:  124.03800000,Danceability:  70%, G#, Major,Energy:  79%,Valence:  68%,Acousticness:  18%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  6%
12,Whippin (feat. Felix Snow),Kiiara,http://www.spotontrack.com/track/whippin-feat-felix-snow/17445935,https://open.spotify.com/track/3QWjljChcOMkRDYSzF33Qr,3QWjljChcOMkRDYSzF33Qr,https://p.scdn.co/mp3-preview/ed899d1bb2e78f57385a426eefce614591174f54?cid=null,BPM:  82.53000000,Danceability:  87%, F, Minor,Energy:  50%,Valence:  68%,Acousticness:  55%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  9%
13,You Don't Know About Me,Ella Vos,http://www.spotontrack.com/track/you-don-t-know-about-me/22572981,https://open.spotify.com/track/6nWblEsIEGQE5TfAxN2oUQ,6nWblEsIEGQE5TfAxN2oUQ,https://p.scdn.co/mp3-preview/95168f408d31493c32e3ab1d7a79c6a1b20785fd?cid=null,BPM:  80.02900000,Danceability:  83%, C#, Major,Energy:  40%,Valence:  33%,Acousticness:  33%,Instrumentalness:  7%,Speechiness:  4%,Liveness:  16%
14,Nights With You,MØ,http://www.spotontrack.com/track/nights-with-you/18943965,https://open.spotify.com/track/5q5gzmbBS5yQzos2BvVr1t,5q5gzmbBS5yQzos2BvVr1t,https://p.scdn.co/mp3-preview/47d05bccc19615cf21014c8421564e64d9ea8c67?cid=null,BPM:  120.06000000,Danceability:  76%, C#, Minor,Energy:  67%,Valence:  61%,Acousticness:  40%,Instrumentalness:  0%,Speechiness:  10%,Liveness:  38%
15,Can't Hide,Whethan,http://www.spotontrack.com/track/can-t-hide/6542851,https://open.spotify.com/track/7CotyU8EcChJlqOFnxPPmI,7CotyU8EcChJlqOFnxPPmI,https://p.scdn.co/mp3-preview/91055048bee14069d07ac6f28226233549d2ab43?cid=null,BPM:  179.94400000,Danceability:  61%, D, Minor,Energy:  69%,Valence:  34%,Acousticness:  4%,Instrumentalness:  0%,Speechiness:  9%,Liveness:  17%
16,Distant,Clement Bazin,http://www.spotontrack.com/track/distant/7401270,https://open.spotify.com/track/3kKX2SSrYHYGbX9fIpipoM,3kKX2SSrYHYGbX9fIpipoM,https://p.scdn.co/mp3-preview/b9a4b81b35c86d4e25185aed383159b4ce88cb92?cid=null,BPM:  130.89300000,Danceability:  57%, A, Minor,Energy:  49%,Valence:  10%,Acousticness:  4%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  11%
17,Waiting on the Summer,VHS Collection,http://www.spotontrack.com/track/waiting-on-the-summer/2071940,https://open.spotify.com/track/6jnEusmGUs0D6YvF8MhOXX,6jnEusmGUs0D6YvF8MhOXX,https://p.scdn.co/mp3-preview/568c21e947a60839efff2cf8764e66cbeacb1b95?cid=null,BPM:  104.98800000,Danceability:  55%, E, Major,Energy:  81%,Valence:  63%,Acousticness:  4%,Instrumentalness:  0%,Speechiness:  11%,Liveness:  10%
18,California Girls (NoMBe vs. Sonny Alven),NoMBe,http://www.spotontrack.com/track/california-girls-nombe-vs-sonny-alven/2129622,https://open.spotify.com/track/4aqafewb0B9MlQVHUWIOuK,4aqafewb0B9MlQVHUWIOuK,https://p.scdn.co/mp3-preview/5ca0352b8d6b50a41969a1ca3d86ddc73ff533eb?cid=null,BPM:  97.91000000,Danceability:  65%, F#, Minor,Energy:  58%,Valence:  34%,Acousticness:  90%,Instrumentalness:  4%,Speechiness:  14%,Liveness:  8%
19,Windows (feat. Icona Pop),Felix Snow,http://www.spotontrack.com/track/windows-feat-icona-pop/6697375,https://open.spotify.com/track/0mZhV2kUYyLq5zXmZ3gxnN,0mZhV2kUYyLq5zXmZ3gxnN,https://p.scdn.co/mp3-preview/60a8066b303d5da66d1e2e18827605fe7d73c87d?cid=null,None,None,None,None,None,None,None,None,None,None
20,I Don't Think So,Ben Phipps,http://www.spotontrack.com/track/i-don-t-think-so/2229812,https://open.spotify.com/track/1BczdgS6s8ofRNMZPtbMF1,1BczdgS6s8ofRNMZPtbMF1,https://p.scdn.co/mp3-preview/a3f234d729ae3184b0b300e498bf93f4b54fd471?cid=null,BPM:  109.98900000,Danceability:  83%, D#, Minor,Energy:  48%,Valence:  14%,Acousticness:  69%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  10%
21,What You Need,Baynk,http://www.spotontrack.com/track/what-you-need/4232846,https://open.spotify.com/track/7j1Q7Xx6Ozn5mUJfrqaSjp,7j1Q7Xx6Ozn5mUJfrqaSjp,https://p.scdn.co/mp3-preview/35bba88d4a3dc047444c170f1ef797d14b5b6be4?cid=null,BPM:  114.97200000,Danceability:  81%, F#, Major,Energy:  66%,Valence:  31%,Acousticness:  56%,Instrumentalness:  1%,Speechiness:  7%,Liveness:  12%
22,Dark Days - Sofi Tukker Remix,Local Natives,http://www.spotontrack.com/track/dark-days-sofi-tukker-remix/7411301,https://open.spotify.com/track/6FzYhrPQqISyxCTttPfid1,6FzYhrPQqISyxCTttPfid1,,BPM:  120.99900000,Danceability:  60%, E, Minor,Energy:  92%,Valence:  42%,Acousticness:  13%,Instrumentalness:  57%,Speechiness:  3%,Liveness:  6%
23,No Promises (feat. Demi Lovato),Cheat Codes,http://www.spotontrack.com/track/no-promises-feat-demi-lovato/14877495,https://open.spotify.com/track/5lNuqFVMca4vPupY10cH0J,5lNuqFVMca4vPupY10cH0J,https://p.scdn.co/mp3-preview/eb769786f45b9fe4852d38b4db9e2b4774e8781d?cid=null,BPM:  112.95600000,Danceability:  74%, A#, Major,Energy:  67%,Valence:  61%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  13%,Liveness:  11%
24,Bad Habits,Monsieur Adi,http://www.spotontrack.com/track/bad-habits/3703921,https://open.spotify.com/track/4EOkkNiPEj9UViBt7JuDPj,4EOkkNiPEj9UViBt7JuDPj,https://p.scdn.co/mp3-preview/56ef331d677dc96bccd739f254de08a3f488f37e?cid=null,BPM:  138.29300000,Danceability:  31%, F#, Major,Energy:  57%,Valence:  30%,Acousticness:  0%,Instrumentalness:  4%,Speechiness:  4%,Liveness:  16%
25,One Step At A Time,Bearson,http://www.spotontrack.com/track/one-step-at-a-time/5109935,https://open.spotify.com/track/0TzWLXV3gnCqTSzOYrLs8h,0TzWLXV3gnCqTSzOYrLs8h,https://p.scdn.co/mp3-preview/53945475e64ccd0fa60ee26914cacf78676c4bf8?cid=null,BPM:  96.07300000,Danceability:  63%, B, Major,Energy:  78%,Valence:  80%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  18%
26,Fast Car - Radio Edit,Jonas Blue,http://www.spotontrack.com/track/fast-car-radio-edit/421657,https://open.spotify.com/track/2mCF8L0brIs88eH6Kf2h9p,2mCF8L0brIs88eH6Kf2h9p,,BPM:  112.68400000,Danceability:  56%, A, Major,Energy:  59%,Valence:  54%,Acousticness:  46%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  30%
27,Fire,Louis The Child,http://www.spotontrack.com/track/fire/2183255,https://open.spotify.com/track/4g64deYSvQZ4w9uGpYz2sL,4g64deYSvQZ4w9uGpYz2sL,https://p.scdn.co/mp3-preview/684eb41efb09bf145d29ce846441fa73b61574e6?cid=null,BPM:  89.80700000,Danceability:  39%, F#, Minor,Energy:  71%,Valence:  31%,Acousticness:  26%,Instrumentalness:  0%,Speechiness:  38%,Liveness:  23%
28,Electric Touch,A R I Z O N A,http://www.spotontrack.com/track/electric-touch/17236924,https://open.spotify.com/track/062OIZFRJTkXBAiyyw61W9,062OIZFRJTkXBAiyyw61W9,https://p.scdn.co/mp3-preview/dd79384386cdb656f3922e5e8ad7692ff512e371?cid=null,BPM:  101.00200000,Danceability:  65%, C, Major,Energy:  79%,Valence:  47%,Acousticness:  23%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  14%
29,Magic,Thomas Gold,http://www.spotontrack.com/track/magic/2183473,https://open.spotify.com/track/7GYLsGlCPqSkLBNDC5mVyl,7GYLsGlCPqSkLBNDC5mVyl,https://p.scdn.co/mp3-preview/02f08b1d1ed98e5da1a5fea8852f4f87fafb8de2?cid=null,BPM:  105.00400000,Danceability:  63%, G#, Major,Energy:  88%,Valence:  45%,Acousticness:  5%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  10%
30,Aftergold (feat. Tove Styrke),Big Wild,http://www.spotontrack.com/track/aftergold-feat-tove-styrke/22541,https://open.spotify.com/track/1wPRqq1czM3ny6189e56mq,1wPRqq1czM3ny6189e56mq,https://p.scdn.co/mp3-preview/c09904a930153709379575a9bf14f95fb77d0b8a?cid=null,BPM:  94.57000000,Danceability:  60%, G#, Minor,Energy:  90%,Valence:  37%,Acousticness:  1%,Instrumentalness:  1%,Speechiness:  9%,Liveness:  8%
31,Thinking About It (Let It Go) - KVR Remix,Nathan Goshen,http://www.spotontrack.com/track/thinking-about-it-let-it-go-kvr-remix/5743,https://open.spotify.com/track/0yJv0G7r1PZIl1CY5XhvkR,0yJv0G7r1PZIl1CY5XhvkR,https://p.scdn.co/mp3-preview/78bc6bf47cf17cf23dfea2884c3ee3edb76d6790?cid=null,BPM:  100.98500000,Danceability:  69%, E, Minor,Energy:  77%,Valence:  59%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  15%
32,Love Gun - Radio Edit,Tess,http://www.spotontrack.com/track/love-gun-radio-edit/7020653,https://open.spotify.com/track/04DysC7XwYiKJqYwGM8mkU,04DysC7XwYiKJqYwGM8mkU,,BPM:  120.00000000,Danceability:  70%, A, Minor,Energy:  67%,Valence:  44%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  12%
33,Your Girl,Violet Days,http://www.spotontrack.com/track/your-girl/695198,https://open.spotify.com/track/6TYWE19e35N7Bn5heHwyY6,6TYWE19e35N7Bn5heHwyY6,https://p.scdn.co/mp3-preview/f6cd809cb2411ad2ecbc149255d636765a28af72?cid=null,BPM:  149.95300000,Danceability:  55%, A, Minor,Energy:  56%,Valence:  30%,Acousticness:  4%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  32%
34,TROUBLE (feat. Absofacto),The Knocks,http://www.spotontrack.com/track/trouble-feat-absofacto/7057005,https://open.spotify.com/track/0SE7gSflAhE1a5HEs5Hk9R,0SE7gSflAhE1a5HEs5Hk9R,https://p.scdn.co/mp3-preview/dea4e5e570da185e7c5af25b286798fbda25525d?cid=null,BPM:  116.93600000,Danceability:  59%, C#, Minor,Energy:  67%,Valence:  66%,Acousticness:  39%,Instrumentalness:  0%,Speechiness:  14%,Liveness:  7%
35,Not Going Home,DVBBS,http://www.spotontrack.com/track/not-going-home/5576541,https://open.spotify.com/track/2PuHj0tUOKud6fVKTZUXRO,2PuHj0tUOKud6fVKTZUXRO,,BPM:  109.04400000,Danceability:  79%, C#, Major,Energy:  61%,Valence:  44%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  9%
36,Out of Love,Two Friends,http://www.spotontrack.com/track/out-of-love/8641937,https://open.spotify.com/track/74LOZLK6DFZiVLcd8zBEp2,74LOZLK6DFZiVLcd8zBEp2,https://p.scdn.co/mp3-preview/dd36e1190c1ae5fe78e19325f898629b43283991?cid=null,BPM:  164.17100000,Danceability:  49%, C, Major,Energy:  70%,Valence:  42%,Acousticness:  36%,Instrumentalness:  0%,Speechiness:  23%,Liveness:  9%
37,Light,San Holo,http://www.spotontrack.com/track/light/5940517,https://open.spotify.com/track/74Ru27B7Jx8mBt5MGvGLLv,74Ru27B7Jx8mBt5MGvGLLv,,BPM:  150.06800000,Danceability:  57%, C#, Major,Energy:  75%,Valence:  42%,Acousticness:  9%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  10%
38,Low Tide,XY&O,http://www.spotontrack.com/track/low-tide/1307477,https://open.spotify.com/track/2TYlNJNjw45KdmKr5Dh2mh,2TYlNJNjw45KdmKr5Dh2mh,https://p.scdn.co/mp3-preview/d7d38d153936e0827c455315ef412dbc6a1b954f?cid=null,BPM:  116.97500000,Danceability:  56%, A, Minor,Energy:  80%,Valence:  35%,Acousticness:  0%,Instrumentalness:  1%,Speechiness:  5%,Liveness:  6%
39,Sooner Or Later,Aaron Carter,http://www.spotontrack.com/track/sooner-or-later/7210244,https://open.spotify.com/track/4mqvE5F95nKSUrUvUH3YB7,4mqvE5F95nKSUrUvUH3YB7,,BPM:  111.93700000,Danceability:  74%, F, Minor,Energy:  73%,Valence:  43%,Acousticness:  13%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  8%
40,Waiting For You (feat. Madison Love),Coyote Kisses,http://www.spotontrack.com/track/waiting-for-you-feat-madison-love/1763341,https://open.spotify.com/track/3LYSYHn94yg2PHFPvN7rDj,3LYSYHn94yg2PHFPvN7rDj,https://p.scdn.co/mp3-preview/8376edc505626b3ed5b921b3e3ca41aff803d6df?cid=null,BPM:  87.99800000,Danceability:  68%, B, Minor,Energy:  71%,Valence:  27%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  25%
41,Rewind (feat. Sophie Strauss),Wingtip,http://www.spotontrack.com/track/rewind-feat-sophie-strauss/2153092,https://open.spotify.com/track/7z72BGlsE21horfWo8hG4d,7z72BGlsE21horfWo8hG4d,,BPM:  100.02500000,Danceability:  66%, G#, Minor,Energy:  63%,Valence:  29%,Acousticness:  11%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  17%
42,Fall in Deep,BLOW,http://www.spotontrack.com/track/fall-in-deep/5645247,https://open.spotify.com/track/4pgOyxhTFOuNZJndYQJkKk,4pgOyxhTFOuNZJndYQJkKk,https://p.scdn.co/mp3-preview/d4ccb6e6ffbe9febc8145b87bc59cd2d298da9bb?cid=null,BPM:  111.96600000,Danceability:  69%, C, Major,Energy:  65%,Valence:  55%,Acousticness:  11%,Instrumentalness:  24%,Speechiness:  7%,Liveness:  17%
43,Recess,Golden Coast,http://www.spotontrack.com/track/recess/6543209,https://open.spotify.com/track/5BB6riskdmhOajkh4VCkJw,5BB6riskdmhOajkh4VCkJw,https://p.scdn.co/mp3-preview/79ebf29ac88dcfa8df609b81b1a9432ce14272fd?cid=null,BPM:  103.00500000,Danceability:  76%, A#, Major,Energy:  83%,Valence:  63%,Acousticness:  3%,Instrumentalness:  2%,Speechiness:  8%,Liveness:  9%
44,Alright,Stupead,http://www.spotontrack.com/track/alright/7126208,https://open.spotify.com/track/1fDLHQ4oKWj7KxQRg9WOHQ,1fDLHQ4oKWj7KxQRg9WOHQ,https://p.scdn.co/mp3-preview/1449a74ef40e6703574036506f38071e333ff582?cid=null,BPM:  124.03400000,Danceability:  77%, C, Major,Energy:  81%,Valence:  51%,Acousticness:  32%,Instrumentalness:  0%,Speechiness:  33%,Liveness:  26%
45,Old School,Urban Cone,http://www.spotontrack.com/track/old-school/7389548,https://open.spotify.com/track/41kE0bBBpwPUZEZKxSIROh,41kE0bBBpwPUZEZKxSIROh,,BPM:  94.99500000,Danceability:  69%, D, Major,Energy:  75%,Valence:  25%,Acousticness:  2%,Instrumentalness:  4%,Speechiness:  4%,Liveness:  30%
46,On Your Side,The Veronicas,http://www.spotontrack.com/track/on-your-side/3055956,https://open.spotify.com/track/7mTgsbq7n8jgnwLswpgugB,7mTgsbq7n8jgnwLswpgugB,https://p.scdn.co/mp3-preview/50473f0b782c6a754660318d9d1e2f035d9ebd17?cid=null,BPM:  99.97400000,Danceability:  59%, G, Minor,Energy:  78%,Valence:  38%,Acousticness:  9%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  20%
47,Navigator,MOONZz,http://www.spotontrack.com/track/navigator/14698196,https://open.spotify.com/track/1IUWIwZrxpyktrxGqI7FN7,1IUWIwZrxpyktrxGqI7FN7,https://p.scdn.co/mp3-preview/abbeaa1341dfe27574e752acd3e2a2c5a6bc8439?cid=null,BPM:  171.98300000,Danceability:  55%, D#, Major,Energy:  84%,Valence:  43%,Acousticness:  25%,Instrumentalness:  0%,Speechiness:  9%,Liveness:  12%
