1,Mask Off - Remix,Future,http://www.spotontrack.com/track/mask-off-remix/23679189,https://open.spotify.com/track/6DB2KOEwHnjkgEnBt5SdeJ,6DB2KOEwHnjkgEnBt5SdeJ,https://p.scdn.co/mp3-preview/c51f0986f9a2e8d6058044b9d0b136b20766a99f?cid=null,BPM:  150.00500000,Danceability:  73%, D, Major,Energy:  43%,Valence:  23%,Acousticness:  1%,Instrumentalness:  2%,Speechiness:  40%,Liveness:  51%
2,Don't Get Too High,Bryson Tiller,http://www.spotontrack.com/track/don-t-get-too-high/23784385,https://open.spotify.com/track/5lEiraOkg8SpRg9SXU67oi,5lEiraOkg8SpRg9SXU67oi,https://p.scdn.co/mp3-preview/2b3ffff096ecebc6592a8849d6841e658b17d8de?cid=null,BPM:  123.99900000,Danceability:  88%, C#, Major,Energy:  48%,Valence:  44%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  12%
3,HUMBLE.,Kendrick Lamar,http://www.spotontrack.com/track/humble/17622702,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,7KXjTSCq5nL1LoYtL7XAwS,,BPM:  150.02000000,Danceability:  90%, C#, Minor,Energy:  61%,Valence:  43%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  9%,Liveness:  10%
4,Dance With The Devil,Gucci Mane,http://www.spotontrack.com/track/dance-with-the-devil/23779860,https://open.spotify.com/track/6RFGykMl5wP1gMPccCY9oB,6RFGykMl5wP1gMPccCY9oB,https://p.scdn.co/mp3-preview/45cb7227f477d9ab85443e2b1081dea3b6aa0184?cid=null,BPM:  174.00900000,Danceability:  77%, G, Major,Energy:  44%,Valence:  19%,Acousticness:  5%,Instrumentalness:  0%,Speechiness:  13%,Liveness:  11%
5,T-Shirt,Migos,http://www.spotontrack.com/track/t-shirt/7405034,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7,7KOlJ92bu51cltsD9KU5I7,https://p.scdn.co/mp3-preview/edd2f6579cc0e33d93b4348cab6b7dfee0dfedbc?cid=null,BPM:  139.02300000,Danceability:  87%, A#, Minor,Energy:  69%,Valence:  52%,Acousticness:  24%,Instrumentalness:  0%,Speechiness:  22%,Liveness:  16%
6,Handsome And Wealthy,Migos,http://www.spotontrack.com/track/handsome-and-wealthy/441571,https://open.spotify.com/track/61zTSexBvC42Db8jxMHuKx,61zTSexBvC42Db8jxMHuKx,https://p.scdn.co/mp3-preview/d86469722a8b0b3bb079b8d1128202804c7ada7e?cid=null,BPM:  146.03100000,Danceability:  86%, D, Major,Energy:  67%,Valence:  24%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  10%,Liveness:  9%
7,Peek A Boo,Lil Yachty,http://www.spotontrack.com/track/peek-a-boo/17722317,https://open.spotify.com/track/1iTWoKAdilGEmit6xhQZje,1iTWoKAdilGEmit6xhQZje,,BPM:  127.03900000,Danceability:  95%, C#, Major,Energy:  59%,Valence:  27%,Acousticness:  7%,Instrumentalness:  0%,Speechiness:  31%,Liveness:  8%
8,DNA.,Kendrick Lamar,http://www.spotontrack.com/track/dna/17622696,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj,6HZILIRieu8S0iqY8kIKhj,,BPM:  139.93100000,Danceability:  64%, C#, Major,Energy:  51%,Valence:  38%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  37%,Liveness:  9%
9,XO TOUR Llif3,Lil Uzi Vert,http://www.spotontrack.com/track/xo-tour-llif3/13473766,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq,2eMwDehkIC1j68U6FA3Eiq,https://p.scdn.co/mp3-preview/7add10ee576e9017030c09aa6d8bcaf682714859?cid=null,BPM:  154.88800000,Danceability:  72%, B, Minor,Energy:  67%,Valence:  53%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  8%,Liveness:  11%
10,You Was Right,Lil Uzi Vert,http://www.spotontrack.com/track/you-was-right/279947,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M,2ANLarE8yHVsLWW21nj79M,https://p.scdn.co/mp3-preview/5e922ed555267f903503958d68ea28879aa7cf71?cid=null,BPM:  81.98700000,Danceability:  84%, C, Major,Energy:  36%,Valence:  16%,Acousticness:  7%,Instrumentalness:  0%,Speechiness:  46%,Liveness:  12%
