1,Waiting All Night (feat. Ella Eyre),Rudimental,http://www.spotontrack.com/track/waiting-all-night-feat-ella-eyre/321145,https://open.spotify.com/track/0g4qRoQ3Bh6puFzBA7fH3S,0g4qRoQ3Bh6puFzBA7fH3S,https://p.scdn.co/mp3-preview/422d4f2a789b911be7c8ad6401725735121d729d?cid=null,0.544,0.728,6,-5.358,0,0.05,0.00264,0.00959,0.427,0.296,174.983,292587,4
2,Show You Love,Kato,http://www.spotontrack.com/track/show-you-love/9928200,https://open.spotify.com/track/03Y59cRE9pCrk3VleTeT7M,03Y59cRE9pCrk3VleTeT7M,https://p.scdn.co/mp3-preview/3d775788f2662422d1c12e7b6837a6f678d76140?cid=null,0.689,0.832,5,-5.149,0,0.0745,0.289,0,0.0749,0.646,123.936,182720,4
3,Dark River,Sebastian Ingrosso,http://www.spotontrack.com/track/dark-river/260600,https://open.spotify.com/track/5LlJrf8JdsP9FYDvsO3Mn0,5LlJrf8JdsP9FYDvsO3Mn0,,0.778,0.745,11,-4.554,0,0.0308,0.0337,0.000281,0.35,0.661,126.019,192124,4
4,Blind Heart - Radio Edit,CAZZETTE,http://www.spotontrack.com/track/blind-heart-radio-edit/7460205,https://open.spotify.com/track/1UIUOVUjP05FNIABL61bCk,1UIUOVUjP05FNIABL61bCk,https://p.scdn.co/mp3-preview/4bcde43b4ae81123ea3f12739a612a5c068db019?cid=null,0.722,0.827,1,-6.501,0,0.0659,0.0844,9.14e-05,0.0654,0.327,121.896,197954,4
5,Golden Light (feat. 6AM),Madden,http://www.spotontrack.com/track/golden-light-feat-6am/5983,https://open.spotify.com/track/3T8j0WDSw7G98rNLAe2M2X,3T8j0WDSw7G98rNLAe2M2X,https://p.scdn.co/mp3-preview/80321cb9ae3d09ccf5351696aa5ada21518c76eb?cid=null,0.706,0.897,8,-2.539,0,0.0349,0.012,1.01e-06,0.343,0.61,125.002,207291,4
6,Heatwave (feat. Akon) - DJ Katch Remix,Robin Schulz,http://www.spotontrack.com/track/heatwave-feat-akon-dj-katch-remix/533083,https://open.spotify.com/track/0nKRHXbV2SbZwDOtXDizU1,0nKRHXbV2SbZwDOtXDizU1,https://p.scdn.co/mp3-preview/bb8d79ae9b34a60b5738509e691097af847bcbaf?cid=null,0.791,0.774,7,-4.936,0,0.0421,0.00373,0.00863,0.141,0.195,107.961,200000,4
7,The Heat (I Wanna Dance With Somebody),Ralph Felix,http://www.spotontrack.com/track/the-heat-i-wanna-dance-with-somebody/7063518,https://open.spotify.com/track/6kh2EgNMbO3P3HoxLEUSNX,6kh2EgNMbO3P3HoxLEUSNX,https://p.scdn.co/mp3-preview/20780b85464e24844a13b4d0d391bd12603d9716?cid=null,0.56,0.896,7,-3.691,0,0.0673,0.032,0.000113,0.262,0.284,123.987,220754,4
8,You Don't Know Me,Jax Jones,http://www.spotontrack.com/track/you-don-t-know-me/6546035,https://open.spotify.com/track/2SZy40PLDk3vFucXUGFCFA,2SZy40PLDk3vFucXUGFCFA,,0.874,0.67,11,-6.064,0,0.126,0.165,0,0.185,0.691,124.011,213947,4
9,Living,Bakermat,http://www.spotontrack.com/track/living/1302731,https://open.spotify.com/track/63Qco1ncI5U4qEUnxL1DsH,63Qco1ncI5U4qEUnxL1DsH,https://p.scdn.co/mp3-preview/a678360abf8a78874c397a3653270d5481114dad?cid=null,0.762,0.821,0,-4.087,1,0.0453,0.0605,0.00341,0.141,0.851,121.98,197733,4
10,Hymn For The Weekend - Seeb Remix,Coldplay,http://www.spotontrack.com/track/hymn-for-the-weekend-seeb-remix/272633,https://open.spotify.com/track/6s3GEN8wK0OMzzzZbXj0fu,6s3GEN8wK0OMzzzZbXj0fu,https://p.scdn.co/mp3-preview/d36ebf2b3d829b008bfea00bca48536fa510b6f0?cid=null,0.565,0.849,0,-3.516,0,0.0517,0.00868,4.68e-06,0.12,0.43,102.034,212647,4
11,Let's Go,Calvin Harris,http://www.spotontrack.com/track/let-s-go/10967,https://open.spotify.com/track/4wkQmYpAaMe41Rc3sYZ7Vz,4wkQmYpAaMe41Rc3sYZ7Vz,https://p.scdn.co/mp3-preview/6dddc085a2e5a8a5ecde42f4f5f19cc35bbcb041?cid=null,0.71,0.882,4,-2.932,0,0.0595,0.00777,0.00771,0.294,0.858,128.016,232800,4
12,Love And War (feat. Yade Lauren),Yellow Claw,http://www.spotontrack.com/track/love-and-war-feat-yade-lauren/5074922,https://open.spotify.com/track/3YaJevinEgZDcrMjQxWhpC,3YaJevinEgZDcrMjQxWhpC,,0.577,0.911,1,-4.449,1,0.0512,0.0186,0.0587,0.159,0.56,160.036,180150,4
13,I Want You,Tiësto,http://www.spotontrack.com/track/i-want-you/1777685,https://open.spotify.com/track/4I1zD6WvoJoLDFWsqcCpMJ,4I1zD6WvoJoLDFWsqcCpMJ,https://p.scdn.co/mp3-preview/1d904e318f1599035adc1f058da62a668644c063?cid=null,0.68,0.867,7,-5.128,0,0.0437,0.0802,0.0423,0.0734,0.277,126.078,173810,4
14,Centuries,Fall Out Boy,http://www.spotontrack.com/track/centuries/10842,https://open.spotify.com/track/0yhPEz5KxlDwckGJaMlZqM,0yhPEz5KxlDwckGJaMlZqM,,0.383,0.861,4,-2.816,0,0.0777,0.0038,0,0.11,0.481,176.084,228360,4
15,Would I Lie To You - Radio Edit,David Guetta,http://www.spotontrack.com/track/would-i-lie-to-you-radio-edit/2183362,https://open.spotify.com/track/4PdJSsESm34djLfBde9Pr2,4PdJSsESm34djLfBde9Pr2,https://p.scdn.co/mp3-preview/475b6d0d8ada73dcdb6286f202192dd73be739a1?cid=null,0.671,0.826,7,-5.766,0,0.309,0.00718,0,0.631,0.755,123.986,197648,4
16,Show You Love,Kato,http://www.spotontrack.com/track/show-you-love/9935908,https://open.spotify.com/track/4govmU9nWC17G8WRIkhEFh,4govmU9nWC17G8WRIkhEFh,,0.519,0.829,5,-5.121,0,0.0901,0.316,0,0.0759,0.629,123.659,182720,4
