1,Thinking Out Loud,Ed Sheeran,http://www.spotontrack.com/track/thinking-out-loud/402,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,34gCuhDGsG4bRPIf9bb02f,https://p.scdn.co/mp3-preview/7fba47d0806142cb34ad2080a5f139eba915fe05?cid=null,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.584,78.998,281560,4
2,Sweet Creature,Harry Styles,http://www.spotontrack.com/track/sweet-creature/22753123,https://open.spotify.com/track/5kRPPEWFJIMox5qIkQkiz5,5kRPPEWFJIMox5qIkQkiz5,https://p.scdn.co/mp3-preview/c6545e608f8a8790f65edb274e92bdc6d4b133d5?cid=null,0.427,0.262,7,-8.541,1,0.0276,0.746,0,0.068,0.235,104.085,224867,4
3,Say Something,A Great Big World,http://www.spotontrack.com/track/say-something/3915,https://open.spotify.com/track/6Vc5wAMmXdKIAM7WUoEb7N,6Vc5wAMmXdKIAM7WUoEb7N,https://p.scdn.co/mp3-preview/fe73e55ae08bf3395db3e1ba4485533f59faf3ea?cid=null,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0796,141.284,229400,3
4,Ya Me Enteré,Reik,http://www.spotontrack.com/track/ya-me-entere/798004,https://open.spotify.com/track/0lPXFrKyl8HkdQ2E6NmNja,0lPXFrKyl8HkdQ2E6NmNja,https://p.scdn.co/mp3-preview/b340fede3abf8010b0471a22b408bb6df371cbf9?cid=null,0.619,0.452,9,-5.449,1,0.028,0.502,0,0.122,0.17,131.981,204173,4
5,All of Me,John Legend,http://www.spotontrack.com/track/all-of-me/864,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,3U4isOIWM3VvDubwSI3y7a,https://p.scdn.co/mp3-preview/488c53471e56ff9f629652691444438951e880bb?cid=null,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,269560,4
6,Halo,Beyoncé,http://www.spotontrack.com/track/halo/58969,https://open.spotify.com/track/3ERa3mEeOnrh2Mc47qM6T1,3ERa3mEeOnrh2Mc47qM6T1,https://p.scdn.co/mp3-preview/3c97985f3736fab6d4abcd2067f346a9b30955fa?cid=null,0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.476,79.983,261640,4
7,Dive,Ed Sheeran,http://www.spotontrack.com/track/dive/10406446,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls,51ChrwmUPDJvedPQnIU8Ls,https://p.scdn.co/mp3-preview/14bdcdfb15edba50c56d07af3880aceb8bf831bc?cid=null,0.761,0.386,4,-6.158,1,0.0399,0.355,0,0.0953,0.517,134.943,238440,3
8,Llegaste Tú,Jesse & Joy,http://www.spotontrack.com/track/llegaste-tu/7504447,https://open.spotify.com/track/5gAbyyyD5Pr0WDkX8sNWSO,5gAbyyyD5Pr0WDkX8sNWSO,https://p.scdn.co/mp3-preview/bd9409574ddd792df337c6b60819a90c4897bec7?cid=null,0.544,0.583,0,-4.445,1,0.0254,0.214,0,0.165,0.264,146.056,245734,4
9,Make You Feel My Love,Adele,http://www.spotontrack.com/track/make-you-feel-my-love/219141,https://open.spotify.com/track/0mqTcM8kuu2IYPotMt7AzS,0mqTcM8kuu2IYPotMt7AzS,https://p.scdn.co/mp3-preview/49d5d0ada7a36e4320330ecc26082b6a569df339?cid=null,0.552,0.173,10,-10.576,1,0.0292,0.907,0.000401,0.105,0.0841,76.97,212040,1
10,Elastic Heart - Live from The Village,Sia,http://www.spotontrack.com/track/elastic-heart-live-from-the-village/240164,https://open.spotify.com/track/0wHRZwbNWH2TcSBIhyMT1i,0wHRZwbNWH2TcSBIhyMT1i,https://p.scdn.co/mp3-preview/92336385c6560722f685ac5d47dcdf23cd2e07fa?cid=null,0.409,0.375,9,-6.195,1,0.0336,0.887,0,0.125,0.211,128.912,266720,4
11,Perfect,Ed Sheeran,http://www.spotontrack.com/track/perfect/10406448,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,0tgVpDi06FyKpA1z0VMD4v,https://p.scdn.co/mp3-preview/9779493d90a47f29e4257aa45bc6146d1ee9cb26?cid=null,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.167,95.05,263400,3
12,Stay - Album Version (Edited),Rihanna,http://www.spotontrack.com/track/stay-album-version-edited/2291420,https://open.spotify.com/track/4zzzZ1UNfr75ASG1lUE9L1,4zzzZ1UNfr75ASG1lUE9L1,,0.635,0.317,9,-10.166,0,0.0274,0.943,2.28e-05,0.115,0.107,111.924,240707,4
13,A Thousand Years,Christina Perri,http://www.spotontrack.com/track/a-thousand-years/10592,https://open.spotify.com/track/6lanRgr6wXibZr8KgzXxBl,6lanRgr6wXibZr8KgzXxBl,https://p.scdn.co/mp3-preview/9e1ba149540ddccd2d52766c788b06307536260d?cid=null,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.168,139.028,285120,3
14,You're Beautiful,James Blunt,http://www.spotontrack.com/track/you-re-beautiful/8851,https://open.spotify.com/track/0vg4WnUWvze6pBOJDTq99k,0vg4WnUWvze6pBOJDTq99k,https://p.scdn.co/mp3-preview/1e9fe4947493daddd30a02f8e7b920eb413ce065?cid=null,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.458,81.998,209493,4
15,Love Yourself,Justin Bieber,http://www.spotontrack.com/track/love-yourself/38,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,3hB5DgAiMAQ4DzYbsMq1IT,,0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.529,100.418,233720,4
16,"¿Qué Pasaría? - Primera Fila Acústico ""Una Última Vez - Encore""",Sin Bandera,http://www.spotontrack.com/track/que-pasaria-primera-fila-acustico-una-ultima-vez-encore/7065943,https://open.spotify.com/track/5HmPtsLBCRLyfskFvmTNpo,5HmPtsLBCRLyfskFvmTNpo,https://p.scdn.co/mp3-preview/b314547540047423248cf8b6c8d91d2a6407eda7?cid=null,0.463,0.339,0,-10.487,1,0.0272,0.535,8.15e-06,0.535,0.129,136.399,233907,4
17,If I Ain't Got You,Alicia Keys,http://www.spotontrack.com/track/if-i-ain-t-got-you/45681,https://open.spotify.com/track/3XVBdLihbNbxUwZosxcGuJ,3XVBdLihbNbxUwZosxcGuJ,https://p.scdn.co/mp3-preview/7c91c6dc291142a9a489eb9be0a261b489028933?cid=null,0.609,0.445,7,-9.129,1,0.106,0.603,6.77e-06,0.104,0.176,118.393,228707,3
18,Water Under the Bridge,Adele,http://www.spotontrack.com/track/water-under-the-bridge/4317209,https://open.spotify.com/track/6VZdDF6AgZHWiJfgs3T86v,6VZdDF6AgZHWiJfgs3T86v,https://p.scdn.co/mp3-preview/e8dcd070b5696c2ebe823644c543ed48e68ec6dd?cid=null,0.596,0.838,5,-6.52,0,0.0704,0.0189,1.54e-05,0.108,0.479,94.982,240427,4
19,Lay Me Down,Sam Smith,http://www.spotontrack.com/track/lay-me-down/10421,https://open.spotify.com/track/64GRDrL1efgXclrhVCeuA0,64GRDrL1efgXclrhVCeuA0,,0.473,0.192,4,-10.979,1,0.0417,0.922,0,0.106,0.325,125.152,219536,4
20,Say You Won't Let Go,James Arthur,http://www.spotontrack.com/track/say-you-won-t-let-go/3702581,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,5uCax9HTNlzGybIStD3vDh,https://p.scdn.co/mp3-preview/00825cb1779b31d68964eda6f2a7911fc2ae96c6?cid=null,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.475,85.043,211467,4
21,Million Reasons,Lady Gaga,http://www.spotontrack.com/track/million-reasons/2845291,https://open.spotify.com/track/4uhlD1p3hKRI9PLH8qX0fn,4uhlD1p3hKRI9PLH8qX0fn,,0.668,0.428,0,-7.889,1,0.0433,0.458,0,0.108,0.134,129.75,205280,4
22,En Ésta No,Sin Bandera,http://www.spotontrack.com/track/en-esta-no/799310,https://open.spotify.com/track/1zRqRmZyE0bgXkSoVVaCwK,1zRqRmZyE0bgXkSoVVaCwK,https://p.scdn.co/mp3-preview/ed309c7f9121543629eebe899e704c640c058aa5?cid=null,0.592,0.503,7,-7.714,1,0.0382,0.358,0,0.107,0.395,137.73,233347,4
23,Mercy - Acoustic Guitar,Shawn Mendes,http://www.spotontrack.com/track/mercy-acoustic-guitar/7413700,https://open.spotify.com/track/2lJOKBuPgR9vcD4PLxTakY,2lJOKBuPgR9vcD4PLxTakY,,0.617,0.351,11,-6.519,0,0.0325,0.768,0,0.113,0.435,143.943,221200,4
24,Photograph,Ed Sheeran,http://www.spotontrack.com/track/photograph/397,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,1HNkqx9Ahdgi1Ixy2xkKkL,https://p.scdn.co/mp3-preview/097c7b735ceb410943cbd507a6e1dfda272fd8a8?cid=null,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.198,107.989,258987,4
25,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,http://www.spotontrack.com/track/i-don-t-wanna-live-forever-fifty-shades-darker/6715144,https://open.spotify.com/track/6yIdwnpDHufLWgQcveTPMk,6yIdwnpDHufLWgQcveTPMk,,0.74,0.46,0,-8.363,1,0.0674,0.0546,1.35e-05,0.353,0.08,117.988,245200,4
26,What Is Love?,Various Artists,http://www.spotontrack.com/track/what-is-love/8633472,https://open.spotify.com/track/52oqj57a7DFFsSeeA7FpPu,52oqj57a7DFFsSeeA7FpPu,,0.433,0.204,7,-11.964,0,0.0261,0.913,0,0.113,0.179,86.939,247560,4
27,Que Lo Nuestro Se Quede Nuestro,Carlos Rivera,http://www.spotontrack.com/track/que-lo-nuestro-se-quede-nuestro/1478298,https://open.spotify.com/track/4kV3432BX9Z1JEOs7d6fKs,4kV3432BX9Z1JEOs7d6fKs,https://p.scdn.co/mp3-preview/0c22d5a4957112a379d2b557e7424f48ce4cbbca?cid=null,0.464,0.444,4,-8.583,0,0.027,0.488,2.32e-05,0.166,0.297,144.092,222827,4
