1,Etude No. 2,Philip Glass,http://www.spotontrack.com/track/etude-no-2/7451981,https://open.spotify.com/track/5bi8ryL6gy6a1BRXOf43y9,5bi8ryL6gy6a1BRXOf43y9,https://p.scdn.co/mp3-preview/f904bdf8888bb6983e4c0d0ad63f44edda03dd36?cid=null,0.235,0.166,5,-19.632,1,0.0347,0.992,0.87,0.101,0.0352,101.182,295560,4
2,G Song (arr. Keisuke Nakagoshi for piano 4 hands),Terry Riley,http://www.spotontrack.com/track/g-song-arr-keisuke-nakagoshi-for-piano-4-hands/636159,https://open.spotify.com/track/4qbSuzwPH7zCccF2RSaIeq,4qbSuzwPH7zCccF2RSaIeq,https://p.scdn.co/mp3-preview/66319825e5ef5dd06ba87d20f4255c53c8ea7913?cid=null,0.26,0.127,7,-24.262,0,0.0374,0.994,0.889,0.193,0.158,93.212,570933,3
3,Duet for two Solo Violins and String Orchestra (Dedicated to and written for Yehudi Menuhin),Steve Reich,http://www.spotontrack.com/track/duet-for-two-solo-violins-and-string-orchestra-dedicated-to-and-written-for-yehudi-menuhin/2181181,https://open.spotify.com/track/4i4rnJoveCYiMeAhdCDmUc,4i4rnJoveCYiMeAhdCDmUc,https://p.scdn.co/mp3-preview/48fdcee40934beda0b46b01fe9dc8be169b07b22?cid=null,0.289,0.27,5,-15.952,1,0.0441,0.737,0.00272,0.909,0.178,123.565,334613,4
4,"Keyboard Sonata in B-Flat Major, K.266/L.48/P.251: Andante",Domenico Scarlatti,http://www.spotontrack.com/track/keyboard-sonata-in-b-flat-major-k-266-l-48-p-251-andante/4232302,https://open.spotify.com/track/3jLui4jomVtV5IIxVdlXc6,3jLui4jomVtV5IIxVdlXc6,https://p.scdn.co/mp3-preview/b558b23bd823a5617f53d4f644d26a81320514fd?cid=null,0.245,0.0466,10,-29.679,1,0.0465,0.993,0.882,0.0981,0.177,151.059,328320,4
5,"Fantasy in C Major, Op. 159, D. 934: I. Andante molto",Franz Schubert,http://www.spotontrack.com/track/fantasy-in-c-major-op-159-d-934-i-andante-molto/6052990,https://open.spotify.com/track/7JMfliSVdzjguSULo2VPUD,7JMfliSVdzjguSULo2VPUD,https://p.scdn.co/mp3-preview/8e01f477c69d2dca59f3883276e2af92dcdc8f86?cid=null,0.191,0.0368,0,-31.484,1,0.0439,0.943,0.372,0.0456,0.0636,130.415,202733,3
6,Cello Concerto in C Major: II. Grave,Camerata Chicago,http://www.spotontrack.com/track/cello-concerto-in-c-major-ii-grave/4345315,https://open.spotify.com/track/6eroVYWZLEXyLqiqfmIfK9,6eroVYWZLEXyLqiqfmIfK9,https://p.scdn.co/mp3-preview/393bba63e2fc39fedc501006af1c6ea12af4ff58?cid=null,0.156,0.0409,5,-24.019,1,0.0442,0.985,0.501,0.159,0.0846,88.872,430947,4
7,The Lark Ascending,Tasmin Little,http://www.spotontrack.com/track/the-lark-ascending/3268895,https://open.spotify.com/track/2kAgCRZPG3YQR2VMqRvLmb,2kAgCRZPG3YQR2VMqRvLmb,https://p.scdn.co/mp3-preview/ec96df58162e040f8ee840288eb4bdfea43f6a39?cid=null,0.0811,0.0122,4,-32.654,0,0.0511,0.902,0.308,0.0648,0.0383,74.554,935360,4
8,"French Suite No.1 In D Minor, BWV 812: 1. Allemande",Johann Sebastian Bach,http://www.spotontrack.com/track/french-suite-no-1-in-d-minor-bwv-812-1-allemande/5069092,https://open.spotify.com/track/4PQkHn09HnFt4vXCX1Pexo,4PQkHn09HnFt4vXCX1Pexo,,0.399,0.105,2,-26.116,0,0.0413,0.994,0.95,0.0809,0.286,118.63,210507,4
9,Gene Takes a Drink,Bang On A Can All-Stars,http://www.spotontrack.com/track/gene-takes-a-drink/126854,https://open.spotify.com/track/0jPTADjTDjhVuG5Z3HFczW,0jPTADjTDjhVuG5Z3HFczW,https://p.scdn.co/mp3-preview/3e6a5553ace15bc0b3a67f7b8e15798d70080c40?cid=null,0.696,0.519,0,-10.602,0,0.0444,0.974,0.894,0.304,0.207,97.606,357427,4
10,light moving,Hilary Hahn,http://www.spotontrack.com/track/light-moving/87565,https://open.spotify.com/track/1s8QldGAhEcobxBdtjUhPf,1s8QldGAhEcobxBdtjUhPf,,0.655,0.103,4,-30.665,0,0.0763,0.952,0,0.247,0.963,101.981,175347,3
11,Gay Guerrilla,Julius Eastman,http://www.spotontrack.com/track/gay-guerrilla/637020,https://open.spotify.com/track/3cSpVzEmTjohDSWxJtt5oS,3cSpVzEmTjohDSWxJtt5oS,https://p.scdn.co/mp3-preview/d83a31dedd5488cf27aad49a85c6e98e0ffd9f88?cid=null,0.223,0.251,9,-17.652,1,0.0349,0.99,0.885,0.0551,0.0374,84.358,1747733,4
12,"Les Boréades, Acte IV, Scène IV: Entrée pour les Muses, les Zéphyres, les Saisons, les Heures et les Arts",Jean-Philippe Rameau,http://www.spotontrack.com/track/les-boreades-acte-iv-scene-iv-entree-pour-les-muses-les-zephyres-les-saisons-les-heures-et-les-arts/1453252,https://open.spotify.com/track/0XZ7UmLYItfySGHcAzj0cD,0XZ7UmLYItfySGHcAzj0cD,https://p.scdn.co/mp3-preview/a338d829f10a3f854f35ca520f1e6a0dba7971a0?cid=null,0.165,0.139,1,-18.908,1,0.042,0.826,0.191,0.158,0.0396,130.285,421707,4
13,The Light,Philip Glass,http://www.spotontrack.com/track/the-light/3001809,https://open.spotify.com/track/4EPwVqdSx7DvyhcoKDWHks,4EPwVqdSx7DvyhcoKDWHks,https://p.scdn.co/mp3-preview/0137b0f9c4894c832d552f001e4378cddb61ddc6?cid=null,0.174,0.142,5,-20.142,1,0.0356,0.884,0.642,0.104,0.0357,79.484,1431533,4
14,"Wachet aur, ruft uns die Stimme, BWV 140 (arr. G. Bantock)",Johann Sebastian Bach,http://www.spotontrack.com/track/wachet-aur-ruft-uns-die-stimme-bwv-140-arr-g-bantock/86750,https://open.spotify.com/track/2yicMdVzgnKU9FcDNPeETf,2yicMdVzgnKU9FcDNPeETf,https://p.scdn.co/mp3-preview/2fc30128f63e82a30e41bec83cc692aacd3b0353?cid=null,0.168,0.112,3,-21.836,1,0.0365,0.957,0.902,0.148,0.192,130.634,277000,4
15,"String Quartet No. 3, ""Mishima"": VI. Mishima / Closing",Philip Glass,http://www.spotontrack.com/track/string-quartet-no-3-mishima-vi-mishima-closing/89410,https://open.spotify.com/track/4qZh3yJ7tILlDD0Wmv7Ftj,4qZh3yJ7tILlDD0Wmv7Ftj,https://p.scdn.co/mp3-preview/40ac28eb049963b0d00e3096a3169235644eec10?cid=null,0.198,0.0382,0,-29.885,0,0.0443,0.989,0.969,0.17,0.133,136.392,194373,4
16,"Sonate en La Mineur, K. 54: Allegro",Domenico Scarlatti,http://www.spotontrack.com/track/sonate-en-la-mineur-k-54-allegro/481310,https://open.spotify.com/track/4zX6QEtyhVc5x5pcnmXlpn,4zX6QEtyhVc5x5pcnmXlpn,https://p.scdn.co/mp3-preview/f96a6b04e82d717559c5a63d8fd5e9506bf897c8?cid=null,0.188,0.136,9,-26.126,0,0.0488,0.995,0.88,0.13,0.284,70.064,286678,3
17,Appalachian Spring Suite,Aaron Copland,http://www.spotontrack.com/track/appalachian-spring-suite/480625,https://open.spotify.com/track/6IQ1XK96ipPTqlEXCPYWwR,6IQ1XK96ipPTqlEXCPYWwR,https://p.scdn.co/mp3-preview/bb65b00ae484ff49a4ab1cf9894d2af61d99058f?cid=null,0.192,0.0412,4,-23.731,1,0.0481,0.973,0.826,0.0786,0.0544,79.758,1504800,4
18,"Die Kunst der Fuge (The Art of Fugue), BWV 1080: Contrapunctus VII a 4 per Augmentationem et Diminutionem",Johann Sebastian Bach,http://www.spotontrack.com/track/die-kunst-der-fuge-the-art-of-fugue-bwv-1080-contrapunctus-vii-a-4-per-augmentationem-et-diminutionem/676383,https://open.spotify.com/track/6WvxHfzBLqctl7N7RuUFgW,6WvxHfzBLqctl7N7RuUFgW,https://p.scdn.co/mp3-preview/8867225c428752ce42e89f59e2835f0dc1d38a8a?cid=null,0.422,0.124,2,-25.609,0,0.0445,0.995,0.902,0.106,0.366,132.422,251733,4
19,String Quintet in C Major KV515: III. Andante,Wolfgang Amadeus Mozart,http://www.spotontrack.com/track/string-quintet-in-c-major-kv515-iii-andante/479334,https://open.spotify.com/track/5guvIfWwAC8GVt5eKIBO0w,5guvIfWwAC8GVt5eKIBO0w,https://p.scdn.co/mp3-preview/903a24a8edc3b98825034a28d6bc88e551348afa?cid=null,0.212,0.0522,5,-25.779,1,0.0462,0.937,0.156,0.119,0.165,81.471,596640,3
20,"Symphony in D Major, Op. 3, No. 1, W. C1: II. Andante",Johann Christian Bach,http://www.spotontrack.com/track/symphony-in-d-major-op-3-no-1-w-c1-ii-andante/2020898,https://open.spotify.com/track/3Rl7ZACu0O4CQUW7vaBNqg,3Rl7ZACu0O4CQUW7vaBNqg,https://p.scdn.co/mp3-preview/7712f50973c7840d06d621251d78b91d555a0fba?cid=null,0.153,0.0659,7,-23.445,1,0.0524,0.855,0.514,0.0844,0.11,168.538,227307,4
21,Le baiser de la fee (The Fairy's Kiss): Scene II,Igor Stravinsky,http://www.spotontrack.com/track/le-baiser-de-la-fee-the-fairy-s-kiss-scene-ii/676441,https://open.spotify.com/track/3SGJunVTk1tpPmviFNovPu,3SGJunVTk1tpPmviFNovPu,https://p.scdn.co/mp3-preview/313fa1d9e096743282197f7fd54f1e98891624e2?cid=null,0.281,0.0246,7,-27.554,1,0.0351,0.978,0.929,0.0936,0.0699,102.213,648173,4
22,"Symphony in D Major, K. 385 ""Haffner-Sinfonie"": II. Andante",Wolfgang Amadeus Mozart,http://www.spotontrack.com/track/symphony-in-d-major-k-385-haffner-sinfonie-ii-andante/676453,https://open.spotify.com/track/6NYp4TpCo7spWlgGJg0Vsw,6NYp4TpCo7spWlgGJg0Vsw,https://p.scdn.co/mp3-preview/b95dfb1940bb9e3d473633d0eba9ada598701573?cid=null,0.175,0.041,2,-23.586,1,0.0389,0.964,0.692,0.0893,0.0578,86.616,487387,4
23,"Symphony No. 93 in D Major, Hob I:93: II. Largo cantabile",Franz Joseph Haydn,http://www.spotontrack.com/track/symphony-no-93-in-d-major-hob-i-93-ii-largo-cantabile/676461,https://open.spotify.com/track/0kLQvtf6Oo11Xqmj9HzAim,0kLQvtf6Oo11Xqmj9HzAim,https://p.scdn.co/mp3-preview/d76d3498e0e4a1ca768079721de5ebf5a9712cc5?cid=null,0.3,0.00986,7,-25.579,1,0.0516,0.902,0.00128,0.0961,0.126,99.396,334200,3
